0,Ticker,Name
1,ABI.BR,Anheuser-Busch InBev
2,AD.AS,Ahold Delhaize
3,ADSGn.DE,Adidas
4,ADYEN.AS,Adyen
5,AIR.PA,Airbus
6,AIRP.PA,Air Liquide
7,ALVG.DE,Allianz
8,ASML.AS,ASML
9,AXAF.PA,AXA
10,BASFn.DE,BASF
11,BAYGn.DE,Bayer
12,BBVA.MC,BBVA
13,BMWG.DE,BMW
14,BNPP.PA,BNP Paribas
15,CRH.I,CRH
16,DANO.PA,Danone
17,DB1Gn.DE,Deutsche Boerse
18,DPWGn.DE,Deutsche Post
19,DTEGn.DE,Deutsche Telekom
20,ENEI.MI,Enel
21,ENI.MI,Eni
22,ESLX.PA,EssilorLuxottica
23,FLTRF.I,Flutter Entertainment
24,HRMS.PA,Hermès
25,IBE.MC,Iberdrola
26,IFXGn.DE,Infineon Technologies
27,INGA.AS,ING Group
28,ISP.MI,Intesa Sanpaolo
29,ITX.MC,Inditex
30,LINI.DE,Linde PLC
31,LVMH.PA,LVMH Moët Hennessy Louis Vuitton
32,MBGn.DE,Mercedes-Benz Group
33,MUVGn.DE,Munich Re
34,NDAFI.HE,Nordea
35,NOKIA.HE,Nokia
36,OREP.PA,L'Oréal
37,PERP.PA,Pernod Ricard
38,PRTP.PA,Kering
39,PRX.AS,Prosus
40,SAF.PA,Safran
41,SAN.MC,Banco Santander
42,SAPG.DE,SAP
43,SASY.PA,Sanofi
44,SCHN.PA,Schneider Electric
45,SGEF.PA,Vinci
46,SIEGn.DE,Siemens
47,STLAM.MI,Stellantis
48,TTEF.PA,TotalEnergies
49,VNAn.DE,Vonovia
50,VOWG_p.DE,Volkswagen Group
