Date,AAPL,SPX
23/1/2023,141.11,4019.81
24/1/2023,142.53,4016.95
25/1/2023,141.86,4016.22
26/1/2023,143.96,4060.43
27/1/2023,145.93,4070.56
30/1/2023,143.0,4017.77
31/1/2023,144.29,4076.6
1/2/2023,145.43,4119.21
2/2/2023,150.82,4179.76
3/2/2023,154.5,4136.48
6/2/2023,151.73,4111.08
7/2/2023,154.65,4164.0
8/2/2023,151.92,4117.86
9/2/2023,150.87,4081.5
10/2/2023,151.01,4090.46
13/2/2023,153.85,4137.29
14/2/2023,153.2,4136.13
15/2/2023,155.33,4147.6
16/2/2023,153.71,4090.41
17/2/2023,152.55,4079.09
21/2/2023,148.48,3997.34
22/2/2023,148.91,3991.05
23/2/2023,149.4,4012.32
24/2/2023,146.71,3970.04
27/2/2023,147.92,3982.24
28/2/2023,147.41,3970.15
1/3/2023,145.31,3951.39
2/3/2023,145.91,3981.35
3/3/2023,151.03,4045.64
6/3/2023,153.83,4048.42
7/3/2023,151.6,3986.37
8/3/2023,152.87,3992.01
9/3/2023,150.59,3918.32
10/3/2023,148.5,3861.59
13/3/2023,150.47,3855.76
14/3/2023,152.59,3919.29
15/3/2023,152.99,3891.93
16/3/2023,155.85,3960.28
17/3/2023,155.0,3916.64
20/3/2023,157.4,3951.57
21/3/2023,159.28,4002.87
22/3/2023,157.83,3936.97
23/3/2023,158.93,3948.72
24/3/2023,160.25,3970.99
27/3/2023,158.28,3977.53
28/3/2023,157.65,3971.27
29/3/2023,160.77,4027.81
30/3/2023,162.36,4050.83
31/3/2023,164.9,4109.31
3/4/2023,166.17,4124.51
4/4/2023,165.63,4100.6
5/4/2023,163.76,4090.38
6/4/2023,164.66,4105.02
10/4/2023,162.03,4109.11
11/4/2023,160.8,4108.94
12/4/2023,160.1,4091.95
13/4/2023,165.56,4146.22
14/4/2023,165.21,4137.64
17/4/2023,165.23,4151.32
18/4/2023,166.47,4154.87
19/4/2023,167.63,4154.52
20/4/2023,166.65,4129.79
21/4/2023,165.02,4133.52
24/4/2023,165.33,4137.04
25/4/2023,163.77,4071.63
26/4/2023,163.76,4055.99
27/4/2023,168.41,4135.35
28/4/2023,169.68,4169.48
1/5/2023,169.59,4167.87
2/5/2023,168.54,4119.58
3/5/2023,167.45,4090.75
4/5/2023,165.79,4061.22
5/5/2023,173.57,4136.25
8/5/2023,173.5,4138.12
9/5/2023,171.77,4119.17
10/5/2023,173.56,4137.64
11/5/2023,173.75,4130.62
12/5/2023,172.57,4124.08
15/5/2023,172.07,4136.28
16/5/2023,172.07,4109.9
17/5/2023,172.69,4158.77
18/5/2023,175.05,4198.05
19/5/2023,175.16,4191.98
22/5/2023,174.2,4192.63
23/5/2023,171.56,4145.58
24/5/2023,171.84,4115.24
25/5/2023,172.99,4151.28
26/5/2023,175.43,4205.45
30/5/2023,177.3,4205.52
31/5/2023,177.25,4179.83
