IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
0,0,0,52.1,5947.0,0.0,273.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,0,2015-01-03
1,0,1,47.84,5406.0,0.0,261.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,1,2015-01-03
2,0,2,43.66,4937.0,0.0,250.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,2,2015-01-03
3,0,3,43.66,4592.0,0.0,238.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,3,2015-01-03
4,0,4,41.98,4391.0,0.0,224.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,4,2015-01-03
5,0,5,43.93,4282.0,0.0,204.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,5,2015-01-03
6,0,6,46.02,4260.0,0.0,191.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,6,2015-01-03
7,0,7,50.92,4326.0,0.0,183.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,7,2015-01-03
8,0,8,55.57,4426.0,0.0,176.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,8,2015-01-03
9,0,9,58.1,4602.0,29.0,169.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,9,2015-01-03
10,0,10,59.8,5061.0,116.0,149.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,10,2015-01-03
11,0,11,59.51,5550.0,183.0,107.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,11,2015-01-03
12,0,12,59.0,5924.0,224.0,73.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,12,2015-01-03
13,0,13,58.13,6091.0,239.0,58.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,13,2015-01-03
14,0,14,56.9,5988.0,230.0,49.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,14,2015-01-03
15,0,15,52.69,5878.0,195.0,41.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,15,2015-01-03
16,0,16,52.1,5843.0,134.0,39.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,16,2015-01-03
17,0,17,56.1,5914.0,49.0,46.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,17,2015-01-03
18,0,18,59.0,6413.0,0.0,59.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,18,2015-01-03
19,0,19,59.8,6923.0,0.0,81.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,19,2015-01-03
20,0,20,59.92,7013.0,0.0,100.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,20,2015-01-03
21,0,21,59.51,6917.0,0.0,116.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,21,2015-01-03
22,0,22,58.1,6612.0,0.0,128.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,22,2015-01-03
23,0,23,56.1,6336.0,0.0,136.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,23,2015-01-03
24,1,0,41.3,5884.0,0.0,127.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,0,2015-01-04
25,1,1,40.19,5341.0,0.0,137.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,1,2015-01-04
26,1,2,38.4,4913.0,0.0,147.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,2,2015-01-04
27,1,3,36.0,4588.0,0.0,158.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,3,2015-01-04
28,1,4,35.0,4402.0,0.0,173.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,4,2015-01-04
29,1,5,35.5,4304.0,0.0,193.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,5,2015-01-04
30,1,6,36.0,4247.0,0.0,217.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,6,2015-01-04
31,1,7,36.49,4277.0,0.0,245.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,7,2015-01-04
32,1,8,38.5,4231.0,0.0,276.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,8,2015-01-04
33,1,9,41.86,4339.0,6.0,306.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,9,2015-01-04
34,1,10,48.51,4782.0,92.0,316.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,10,2015-01-04
35,1,11,48.51,5225.0,182.0,285.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,11,2015-01-04
36,1,12,45.5,5557.0,238.0,232.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,12,2015-01-04
37,1,13,47.71,5735.0,259.0,187.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,13,2015-01-04
38,1,14,46.48,5654.0,245.0,153.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,14,2015-01-04
39,1,15,39.82,5487.0,196.0,140.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,15,2015-01-04
40,1,16,39.6,5365.0,113.0,159.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,16,2015-01-04
41,1,17,47.69,5321.0,15.0,237.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,17,2015-01-04
42,1,18,59.11,5886.0,0.0,361.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,18,2015-01-04
43,1,19,61.26,6505.0,0.0,479.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,19,2015-01-04
44,1,20,62.31,6729.0,0.0,564.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,20,2015-01-04
45,1,21,62.69,6801.0,0.0,617.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,21,2015-01-04
46,1,22,61.19,6671.0,0.0,660.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,22,2015-01-04
47,1,23,59.8,6468.0,0.0,689.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,23,2015-01-04
48,2,0,56.06,5701.0,0.0,593.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,0,2015-01-05
49,2,1,48.07,5208.0,0.0,528.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,1,2015-01-05
50,2,2,43.93,4769.0,0.0,458.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,2,2015-01-05
51,2,3,45.67,4521.0,0.0,403.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,3,2015-01-05
52,2,4,45.69,4415.0,0.0,356.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,4,2015-01-05
53,2,5,47.49,4388.0,0.0,318.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,5,2015-01-05
54,2,6,57.5,4495.0,0.0,281.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,6,2015-01-05
55,2,7,63.0,4913.0,0.0,241.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,7,2015-01-05
56,2,8,65.11,5594.0,0.0,217.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,8,2015-01-05
