,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.13168439887052144,0.2170488563052021,0.28656708199811465,0.3429563617938824,0.3962520307358117,0.44345324260088814,0.4876755272216224,0.5202864372967803,0.5519673603385453,0.5829086257065337,0.11031060906427115,0.47071368957783233,0.4408516013615983,0.4125773343558445,0.38213104769486955,0.343078112942549,0.3059277936524789,0.2618466528037365,0.21099709970230554,0.16080782329716242,0.10151133848499372
Hour 2,0.02590519250738682,0.0448103046435714,0.058691290334059225,0.07219475431898062,0.08359742512082616,0.09240100851803298,0.09887380739151466,0.10377912409637659,0.1101349951400865,0.1150475292713388,1.4719132215432715,0.4232900715413063,0.38838202978582376,0.35269760211486956,0.3147998204897279,0.2769419502880949,0.23776795722254662,0.19549138144228467,0.15374954094146356,0.10842302901771904,0.05821183755301161
Hour 3,0.0466696493564632,0.08525023846778322,0.11902652871293798,0.1491967126048862,0.1772332198479358,0.20327199901136025,0.2267664643931658,0.24992366042004052,0.2721962202069808,0.2931784998186375,0.08011486581187732,0.3096160719236214,0.28667931765413573,0.2638311583144449,0.2380850586198997,0.2123923023218714,0.1851994437137363,0.1553095357019722,0.1242249853062007,0.08889221804144765,0.04871842593241882
Hour 4,0.05284230002662449,0.09340082837239624,0.13181463902367382,0.16451661072943183,0.19701694779576676,0.2269586002355823,0.254621584058131,0.2820465662317105,0.30593294315801656,0.3296233415810317,0.05893266987555279,0.30469335191119484,0.2819109205404683,0.2588580028491446,0.23479792443269598,0.20890440110916236,0.18142371404544838,0.15148187561794826,0.1188359730296382,0.08383826618689647,0.04746629604495507
Hour 5,0.06939105882921047,0.1219974233523983,0.1658929970355109,0.20765572343793906,0.24212674714584442,0.27468696296552103,0.30613859864942633,0.33473379024696415,0.36103672056217445,0.3874066040166952,0.1182458888432869,0.3867053665111664,0.35693410942976994,0.3276306594999862,0.29828255504173756,0.26559436963192323,0.2329106363556693,0.19599324513451077,0.15560854423356568,0.11177436623485142,0.06250212852082282
Hour 6,0.059322432277268716,0.10441145766180338,0.14274085168423586,0.17854753575007565,0.20913626908172445,0.23768126324611277,0.26483315023391024,0.2881305356486081,0.3097351180988398,0.330468267055044,0.3193174262649361,0.4386397686446691,0.40877040777273665,0.38109236170466165,0.34592324130393975,0.3055910002695875,0.26868192848906636,0.23006482188561164,0.1869946264676264,0.13584719908426915,0.07832739437982963
Hour 7,0.05949355527559634,0.10749878756970514,0.14949314703824046,0.18738112666311835,0.22377063546166298,0.25579746682319454,0.28909115412038616,0.3205767677013009,0.3481312757681998,0.37517618016514814,0.042639957678996865,0.3687581030406768,0.3412666036513323,0.31731755975359277,0.28617801608593935,0.2537981229840747,0.22221247353685797,0.1852094645138658,0.14609439427627335,0.10545718706058894,0.059589472830950195
Hour 8,0.09087202657842582,0.16284311112640798,0.22390458734765917,0.28095073601080717,0.3379379734434938,0.3863208405778716,0.43063111663354614,0.4758320497040178,0.5157915070823931,0.5562824757690595,0.7196356357550862,0.3578671288031465,0.3349130875345731,0.31176717575305873,0.28653383761620144,0.2555069759225824,0.22385331907773393,0.1879956287531319,0.14944443666615093,0.10778297583135414,0.0602316013206015
Hour 9,0.08284230551492978,0.15176633393720784,0.2129633418914388,0.26983148506450716,0.32132190522794035,0.37134461035154626,0.42123281618234604,0.46150062307440537,0.5075898746077966,0.5471615879121713,0.5492905605327856,0.4032431611732619,0.37336330954214136,0.34362058535372286,0.3123928800473786,0.2790562787004286,0.2426459236054184,0.20616613365379524,0.16361087788219952,0.11593295279888519,0.06397428194542622
Hour 10,0.057148796345299825,0.10203612963863211,0.14242152299387262,0.17633572914874343,0.20807105766121287,0.23871216213589763,0.2652625904818042,0.2902341212032542,0.3110985376937137,0.333439899805804,0.8527013717617429,0.49338050615226414,0.45318022917489487,0.4134755006020448,0.370752631273598,0.3308427150524662,0.2858004308801875,0.23814629562542414,0.18566281745760604,0.1305942986789498,0.07140927436182934
Hour 11,0.05452282427050479,0.09536713994790656,0.1268077876831825,0.15827004524982635,0.18727528789471615,0.21166794455352916,0.23648265465254475,0.25477958743428447,0.27356390718997664,0.2875111697159177,1.5396123268536996,0.5781737611135102,0.5310620806835197,0.48442674651806145,0.4330844358884773,0.3821181437653872,0.3308443324598703,0.2758508535259053,0.21544738917893894,0.1503165572299357,0.07960998803278209
Hour 12,0.06023197127005864,0.09737786488594573,0.12311621404804622,0.14574091116624316,0.1635160058687289,0.1805495911512521,0.1968300904176893,0.20909673376938998,0.21624462336146374,0.2221694701878569,2.9576974476279716,0.7303554225526265,0.6668964287618122,0.6066684332939494,0.5406157720150704,0.4753058318907704,0.4077349434372845,0.33782030012373127,0.26360842870828627,0.18422636446078502,0.09881398116165065
Hour 13,0.0770342692803742,0.13583474986032495,0.18517194162289746,0.22991907960762503,0.2713142848287074,0.3135077903271184,0.34948922713724206,0.37933319832620555,0.4083974504386348,0.4397143352010018,0.9049902057533217,0.60312008274111,0.5569578550416505,0.5050383709955726,0.45231738606523747,0.40247401535704797,0.3476925590818192,0.2882961965796748,0.22740708568120535,0.1611027047415255,0.09142075861635218
Hour 14,0.05239308390985412,0.08890714494841546,0.11837472088863982,0.1466181790176637,0.17022726221475395,0.19277881770146066,0.21162682608781938,0.2310006934563296,0.2484548154553183,0.26352731458197065,1.6372561169489401,0.5844246565792696,0.5363839306264683,0.491645859482489,0.4439287708757778,0.3904577709393134,0.334025927721613,0.27893462794300034,0.21846729874140952,0.15527687870040055,0.08359471282631041
Hour 15,0.10312462268252523,0.17285801659195854,0.2269767610188287,0.2778792814010697,0.3150549127352369,0.346462411537824,0.3829754620713055,0.41468886932580135,0.443435357492213,0.46735661159877184,1.0380133690168236,0.5315859465640459,0.4919097580494212,0.4473694388766547,0.4019817986798742,0.35516672291208684,0.30378433743270206,0.2527073787324797,0.20134145645643614,0.14504247046411414,0.07903589978515158
Hour 16,0.08929865578280415,0.1615778174389839,0.223502076775482,0.2758806874405629,0.32732651668900425,0.3786385016048266,0.42761895416255696,0.4702091059376521,0.5089908543640614,0.5446968697679181,0.3656726189328374,0.5416467947415272,0.5041263418875281,0.46540208618279266,0.421756307308645,0.3767881997421249,0.3262280056372968,0.271267417911403,0.21560772806496215,0.15437033648201556,0.08695618247348609
Hour 17,0.11322957675792339,0.19474559414657033,0.2600107769722721,0.32268175079786277,0.38361149413939843,0.43981026936839246,0.4883887366510308,0.5330698577804266,0.5723877829099723,0.6087635086334591,0.65431772952115,0.6623199446973844,0.61155308800332,0.5622795016521922,0.5130987452508545,0.4547915032232346,0.392828664984747,0.32771546524168543,0.26046470075199263,0.1838407570934151,0.10358232205198692
Hour 18,0.07032590169837852,0.12354589934884125,0.17238081796957955,0.21886934584270748,0.26065313413214536,0.29830660407891096,0.3336023765639086,0.36888512721042516,0.4002217834275341,0.43028023804325105,0.44936027425336533,0.49888232073478,0.4608695900946716,0.4219500322360819,0.3787530308906606,0.3347159104050854,0.29001753268793856,0.24204447010409474,0.19002045911729495,0.13318189460126453,0.07194922504791175
Hour 19,0.09645557223822931,0.17467117578829375,0.24412125118225425,0.30666574890976384,0.36211694004340433,0.41327409815759225,0.4624149448398354,0.5049549526845462,0.5449234271724038,0.5871028414236682,0.608791736936066,0.6445422987466737,0.6029139529685759,0.5548317639741562,0.5017202413271276,0.4447838188242501,0.3860063384434042,0.32322705633775783,0.2539074898973796,0.1805352514244747,0.10019024381954716
Hour 20,0.0974173154056233,0.17377161544816466,0.2452436574019225,0.30995623043374515,0.3722743475511032,0.43301375826082383,0.4863907918494324,0.5365531601735567,0.5850644357664192,0.6327864200566418,0.7780246954453318,0.4293529482885557,0.4038275561445654,0.3739030117088058,0.3393876106848782,0.3068286612638545,0.26795755654664244,0.22550840499800562,0.1777928394937141,0.13298761701409195,0.07424963830347302
Hour 21,0.23879607634544195,0.3844622660076711,0.5032286426492457,0.6040616341853021,0.675643025210241,0.7539418136021153,0.8159961916169178,0.8811329636872327,0.9438427144444306,1.013398001952318,2.497101607320218,0.12503653764251804,0.13123807073823696,0.13043088862936583,0.12896612199879284,0.12618581048022431,0.1190453631820975,0.11353233497795795,0.10124051231295055,0.08508064198134328,0.059229095184944625
Hour 22,0.07455897307704178,0.14038123059847116,0.2010108616687809,0.2578136895004481,0.3121113886100686,0.3665886676102231,0.41656264619106437,0.4656162994322165,0.5145551064332056,0.56284411693014,2.8068803804007914,0.0024122500937288315,0.012334201435503235,0.019618919992888114,0.023260144736957165,0.028230460305640744,0.029754621314461386,0.03149264618819746,0.030004212143789948,0.025413208428291534,0.017460243532423775
Hour 23,0.08057078610251533,0.14970926719023658,0.2167307690797278,0.2798409838727433,0.341333897299211,0.40126614328961363,0.4589477841738178,0.5144055277777793,0.5691648444983879,0.6241886184499816,3.2051636790219042,0.354096468760277,0.1417946855393943,0.004354748795889524,0.014379133975834945,0.01927227341562281,0.025654571409211815,0.02799659419062766,0.026371047316074783,0.02355648153976761,0.0165520304681406
Hour 24,0.09866641299139588,0.18765430977128256,0.2649791069819919,0.34139012370360095,0.41571275589587864,0.48495434631038503,0.5532375787588284,0.6206779702306181,0.6832691558173082,0.743944840187249,3.43902309302916,0.03416997833427938,0.03937860258084488,0.045170476135689384,0.05011409361582666,0.05370822699311899,0.05177292756814294,0.0524256591725919,0.04579801431728559,0.03738370557485634,0.023953989241666727
