,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,46.639147471103016,37.78566796023644,33.17094544669467,30.24015072988093,28.087192975531615,26.217711851447895,24.851616426185473,23.32159429131561,22.062643593336517,21.07244630568731
Hour 2,16.823406012079676,15.323333366129035,14.162722085034844,13.384306788063256,12.854615293734902,12.311431960204253,11.819246510892636,11.411918155281146,11.078156109464665,10.766752016252894
Hour 3,19.077615057776395,17.41424565092308,16.216767601275905,15.225312415342913,14.497306542466877,13.855476711107716,13.281472086087579,12.84387046836213,12.419456396913695,12.055891434845172
Hour 4,20.061719214315904,17.723909455929263,16.71004080355413,15.799924317368998,15.137626473648599,14.528766711491482,13.983414528309336,13.522614227021371,13.063196971077435,12.686333869844525
Hour 5,26.378637470006645,23.37717895872496,21.433436084605095,20.182448428622482,19.00149534006054,18.009377753248135,17.26917581974753,16.55911124367375,15.954907333154313,15.482239410557224
Hour 6,27.529965331419657,24.02586567460724,21.98236521012414,20.430617881784354,19.112727902831622,18.109075450523335,17.450182615367133,16.730572433831735,15.966789463812802,15.382160713994253
Hour 7,23.816605621309296,21.2955974630294,19.705836087634246,18.6295295588492,17.83932435994083,16.9865196602423,16.436262005895006,15.947358186372334,15.319952875989596,14.878685664116492
Hour 8,30.220725579805453,27.062608695776202,24.889934934253997,23.447318238196942,22.4716517008491,21.394260550015126,20.490427264278495,19.689980636426906,18.904546547043687,18.282992091444115
Hour 9,29.36331749207119,26.769928673609293,25.104947984909213,23.799880935915112,22.55871315333434,21.68002963506582,20.960734177992123,20.128030210703198,19.57673742555417,19.008094981708656
Hour 10,25.71161414142582,23.26304283175818,21.8722893634319,20.724101238708368,19.754859541656003,18.985162572945452,18.171863478725765,17.592740545132465,16.983972597080182,16.536408119161354
Hour 11,26.82656246065736,24.56836971778421,22.81701179080808,21.706044938786572,20.724784814183447,19.792869610630536,19.130488301172047,18.480158348808637,17.880577508299908,17.313698616588546
Hour 12,31.809190486341837,28.160422934673058,25.781642850422152,24.178060564498708,22.85003797224052,21.86184743473407,21.06988178379312,20.39412917658347,19.625356713850564,19.050497854809656
Hour 13,33.69100557934526,29.69374546018503,27.505268486940174,25.91076380936498,24.76027375642105,23.8660601894722,22.90876037721369,22.109289233044443,21.452340121784108,20.856688358842224
Hour 14,27.197559347232893,24.418402364881587,22.456134642003278,21.277640348033188,20.170127597454666,19.441219621359124,18.730159913245622,18.066163823470454,17.44086102403969,16.959039423224795
Hour 15,36.43210449353535,31.790048705607255,28.55454783168431,26.52933300667746,24.753570006717545,23.387637814997017,22.427350307176553,21.55145770506139,20.785447012036308,19.978851163256344
Hour 16,35.25096765125804,31.59481539209993,29.273986989362932,27.35740526759828,26.142180893052032,25.180890044898373,24.2678646134629,23.390279803011108,22.513715472257537,21.726873290188895
Hour 17,43.36237976198204,37.858635123998525,34.69836518161763,32.519860801977394,31.057606364965803,29.820059086387555,28.613928054339564,27.383733985815457,26.309797131406484,25.421669066616857
Hour 18,28.45502534925804,25.672779395010565,24.160085139124956,23.0456907973401,22.026826672803345,21.10075048279987,20.35301164155911,19.770878986162668,19.135363856049008,18.583251175560612
Hour 19,39.32916321155528,35.52064272127683,33.201916071975575,31.49464026237607,29.924931139472328,28.601930566061398,27.546719604770356,26.49466791646755,25.507497336466205,24.632902803406825
Hour 20,34.33339074181925,30.67592324622565,28.202433126375762,26.77323177158753,25.609276163909815,24.661413984155935,23.593668643837436,22.761404297059055,21.975377598021872,21.24278736690394
Hour 21,59.6050343060773,46.954290798901425,40.29794366414641,35.87969845816299,31.787535535693536,29.337587469411318,26.998923246163155,25.28909630791496,23.890684115170387,22.76869079189672
Hour 22,18.403843321893106,16.579443902676267,15.401004920838055,14.465316784432275,13.674640396981196,13.16063759719546,12.566365455086327,12.130880485627614,11.708651285971307,11.305127340477377
Hour 23,19.424563314131184,17.326574873000418,16.20678775972017,15.391878903168546,14.67953874833691,14.017947223507882,13.52362623284722,12.969006914341719,19.098569790005264,27.02036424442153
Hour 24,24.524080446612516,22.503801534613885,20.718474753285165,19.69078914380964,18.69942733856086,17.9554191101168,17.238619210704428,16.646211159157687,16.058839075514513,15.562296370430566
