;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05;q_0,5;q_0,95;q_0,955;q_0,96;q_0,965;q_0,97;q_0,975;q_0,98;q_0,985;q_0,99;q_0,995
Hour 1;0,05676669;0,101692943;0,142259531;0,179554246;0,222273867;0,261849479;0,29975227;0,335912105;0,369053857;0,400950157;1,040746624;0,30961613;0,284356976;0,257352505;0,228590937;0,204939701;0,179887432;0,151997406;0,121920837;0,088346593;0,050505751
Hour 2;0,05856945;0,104433986;0,144856456;0,181828929;0,216644791;0,24900619;0,285491264;0,320884725;0,355184247;0,387860729;1,514717589;0,361196079;0,324360256;0,287217995;0,251460243;0,211210664;0,186081581;0,158230273;0,127899927;0,093563598;0,053961315
Hour 3;0,057146358;0,102764028;0,142961777;0,180913817;0,216384873;0,249711103;0,281767931;0,311860774;0,341069701;0,368838489;1,570454672;0,424108139;0,39255926;0,355384429;0,3115394;0,267229469;0,211146831;0,165898911;0,116081211;0,0765468;0,044450165
Hour 4;0,06115885;0,10954253;0,152973232;0,193457344;0,230948406;0,266257555;0,300132887;0,332392188;0,367943645;0,403380017;1,747926784;0,372874716;0,335152326;0,298724668;0,259269282;0,206715938;0,172428174;0,136126861;0,105709326;0,078128336;0,045157391
Hour 5;0,063139509;0,113141364;0,157795735;0,198781061;0,238765896;0,282976557;0,325661517;0,366083419;0,405301518;0,442534755;1,825952769;0,382968055;0,348803215;0,313142844;0,273752331;0,241256775;0,202658548;0,158675464;0,109255;0,076372689;0,043795224
Hour 6;0,066612555;0,119667502;0,166951558;0,210716739;0,252106918;0,29092596;0,33002859;0,373732895;0,415085591;0,455043564;1,851930321;0,278009828;0,252555519;0,228932736;0,208672698;0,188147751;0,166165035;0,141916844;0,115139208;0,084851856;0,049004765
Hour 7;0,063501534;0,116057042;0,163376823;0,206952074;0,248182211;0,287426921;0,324221175;0,360127787;0,393979325;0,426598187;1,59998624;0,317605911;0,281466359;0,245330104;0,222117992;0,200147365;0,175755536;0,148844468;0,11939002;0,086937669;0,04905554
Hour 8;0,068223638;0,121860015;0,170047605;0,214666063;0,256319589;0,295591779;0,332883496;0,368497723;0,402508142;0,435058968;1,343885961;0,418267823;0,384476499;0,348450783;0,309700705;0,268095928;0,231568557;0,18982319;0,145426864;0,090981199;0,05326248
Hour 9;0,069237735;0,122727352;0,169756066;0,213021787;0,253346291;0,290976281;0,326186229;0,360004337;0,391416276;0,421949804;1,376611384;0,376678789;0,341018833;0,303822714;0,262092097;0,221974449;0,188970001;0,162013741;0,131666905;0,097694572;0,057420771
Hour 10;0,053238203;0,095442478;0,133004097;0,167347146;0,199578575;0,229779742;0,257740381;0,28467918;0,309854867;0,333822081;1,264124416;0,426698922;0,39434791;0,35679715;0,316362298;0,274155576;0,228994036;0,18522219;0,140576625;0,09168918;0,047969669
Hour 11;0,048353311;0,086173332;0,119954453;0,150706839;0,179027877;0,20506144;0,229806765;0,261042101;0,29326925;0,332589753;1,405395662;0,331920453;0,30210258;0,270098203;0,235664282;0,207686182;0,180873971;0,151696825;0,120494686;0,086221221;0,048016977
Hour 12;0,055041317;0,095513091;0,134810392;0,182792114;0,232714258;0,275935149;0,315311451;0,351463489;0,38265015;0,412360457;1,443533168;0,365700107;0,339401701;0,311108232;0,281579871;0,250855673;0,217946045;0,18293523;0,145344742;0,104946913;0,058987405
Hour 13;0,043962263;0,076875683;0,105272209;0,135689476;0,174225882;0,207327065;0,235655121;0,276446686;0,314128316;0,357830507;1,292689482;0,371669935;0,343194496;0,31362262;0,28241586;0,250029302;0,216226352;0,180299213;0,142357009;0,101176395;0,055888931
Hour 14;0,048095548;0,084119612;0,132767788;0,179487132;0,218366335;0,256942842;0,288517203;0,316101214;0,342788999;0,377538625;1,299756991;0,359625514;0,332561056;0,304448806;0,274906865;0,243974944;0,210973843;0,176322098;0,139082087;0,099033188;0,054710632
Hour 15;0,058368625;0,102524492;0,14115773;0,176062912;0,207519477;0,237244131;0,264214315;0,300453968;0,336390127;0,371799258;1,346436652;0,367506377;0,340318024;0,31225834;0,282877823;0,251619277;0,218904799;0,183719166;0,145570883;0,10482466;0,058299918
Hour 16;0,062870266;0,112520969;0,156861909;0,209591914;0,262996124;0,307771929;0,351417675;0,394142831;0,433234173;0,468607716;1,447627104;0,340124274;0,315991638;0,290572738;0,263979826;0,235215813;0,204434601;0,17219623;0,136916436;0,098523355;0,054894439
Hour 17;0,064717962;0,115040073;0,160502286;0,202025379;0,239940701;0,275269451;0,309151515;0,340984915;0,370957636;0,399344353;1,336501833;0,320359883;0,298816329;0,275139007;0,25088544;0,22422241;0,195820913;0,165144034;0,132031438;0,09581872;0,054069247
Hour 18;0,062810541;0,112053972;0,155379395;0,194788671;0,231971635;0,266442435;0,298349481;0,329026375;0,358033827;0,385594255;1,280264899;0,324339082;0,301897186;0,277632266;0,251952836;0,224927881;0,195974248;0,165385365;0,131876905;0,095023026;0,053223166
Hour 19;0,073265537;0,129201113;0,178216332;0,222932237;0,264149661;0,3036609;0,340487888;0,374851534;0,407959506;0,439237518;1,200522651;0,322365922;0,294915214;0,265592053;0,237971261;0,214102756;0,188037534;0,159707669;0,12843326;0,094219451;0,053987702
Hour 20;0,065992342;0,118571748;0,165855245;0,20948174;0,250259792;0,288739233;0,324763539;0,35935593;0,392377697;0,423658691;1,249290059;0,292105196;0,273391259;0,253027544;0,231490159;0,208011239;0,181974545;0,154497742;0,123932495;0,090134297;0,051123372
Hour 21;0,061461641;0,109934989;0,153926806;0,194324575;0,231531339;0,266707441;0,300089962;0,33163614;0,362252556;0,390967727;1,168626229;0,299437615;0,279608457;0,258131959;0,235557285;0,211374488;0,184976075;0,156319367;0,125601059;0,090915857;0,051511702
Hour 22;0,05368083;0,09639015;0,134708271;0,169883747;0,203135929;0,23444639;0,263929654;0,291915329;0,319111774;0,344707916;0,866932714;0,257082412;0,240453973;0,22260358;0,203728814;0,183067454;0,160628893;0,136250167;0,109881986;0,079940824;0,04574524
Hour 23;0,052276407;0,093532399;0,130407918;0,163980417;0,195384908;0,224964865;0,252572895;0,278674734;0,303744877;0,327869695;0,964496117;0,272108509;0,245616811;0,219748493;0,20004654;0,179538361;0,157438681;0,13323641;0,106821146;0,077316244;0,04360963
Hour 24;0,070456887;0,126712639;0,178291712;0,225545662;0,270107303;0,311623763;0,351418288;0,389280665;0,426060194;0,461233428;1,620336491;0,368662891;0,321510883;0,272716885;0,226489693;0,185211026;0,156476684;0,133937708;0,108718408;0,080053203;0,04615854
