,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.06655347310124923,0.1154048133211549,0.1610986103792058,0.19950753449114303,0.23556346881333542,0.2709490929798794,0.30249100426292086,0.3306738874101691,0.3567739301952517,0.3824594140202393,1.048982140222396,0.5959084194837596,0.5505930008726915,0.5022115014750266,0.4518790408534883,0.3998855082776962,0.3457452672188962,0.28835007416539354,0.22723553056449688,0.16166188178931712,0.08830997748757323
Hour 2,0.07483966266629484,0.13817292631053996,0.1947329563802282,0.24143401328751268,0.2870350954882331,0.3301992650067975,0.36553216117737847,0.4012302230225063,0.43288866380882673,0.4633009323039982,0.7859719649976213,0.6088179481446238,0.5609215188837113,0.5144202166783193,0.46381752197718207,0.4152634119025997,0.3592881422990277,0.30333658622559667,0.24176620772282198,0.17089440091279876,0.09356332205001353
Hour 3,0.05020504318315174,0.09040328395624726,0.12513380578829622,0.1560055216517629,0.1852643172819035,0.2123886408711027,0.235234431791756,0.25847337480169785,0.28042143910888706,0.2988717766581505,0.8138567412357869,0.45442700063608954,0.4191725868385707,0.3819748914629394,0.3473782101156992,0.3077753667081206,0.26486533583284005,0.22139329631474977,0.17326127324412674,0.12192016211106484,0.06711077320143745
Hour 4,0.049338043120200084,0.08615643153555887,0.12032481302240768,0.1508808796605971,0.17830727067989588,0.20420964984601872,0.22970175212545385,0.25201034806898065,0.27402815791538826,0.29263053398132843,0.690916062497509,0.43171384160998444,0.39890023523752804,0.3646101445663425,0.3299127051000547,0.29255284028000117,0.2496948660434765,0.20896858829049356,0.1664118471515586,0.1195818178216859,0.0639361328421216
Hour 5,0.04909461560194526,0.08265359357774252,0.1086851288666434,0.13211203451114847,0.15341843756565715,0.17167018241633392,0.18653630954951175,0.20285463008047358,0.2147923183364573,0.22239457087344425,2.1313210680142536,0.6473015439899502,0.5952763645233058,0.5391377227051846,0.48245975868996216,0.4242545138028511,0.3635227906520742,0.30177313830194813,0.23642466945969362,0.16813690931170885,0.09064367926985735
Hour 6,0.04828882181563765,0.08566343476055614,0.11625604370660701,0.14049940351234086,0.16277073108547332,0.1829404126198301,0.2009853463804791,0.21886356417607603,0.23552403805443964,0.25078568604654966,1.8520652345218647,0.6095769189352147,0.5605509729962594,0.5068940736782682,0.4549962974673551,0.40177636632215513,0.3483034689293153,0.2871531495108862,0.22789603691176435,0.16317111110789054,0.08801728422690103
Hour 7,0.06743039599588237,0.11811892487438808,0.1661449348077734,0.20771754617341784,0.24550943172675466,0.28168831501985975,0.31609507134160786,0.3467855713680602,0.3747193322219956,0.3996610859467456,0.2968514230519901,0.45352903039011144,0.4218846503060954,0.3879072381163204,0.3478075952342586,0.30876978441323943,0.26758478617069686,0.22289994294865856,0.17515221704804498,0.1264380679419165,0.07050739104349979
Hour 8,0.060805733452505444,0.10817177771981897,0.15287055592535684,0.18846166682143412,0.22215114016837545,0.2538769754590234,0.28508129542834126,0.3143044049370387,0.33969396232018073,0.36216018756128765,0.7937609945586992,0.5143975563869491,0.4767470280929713,0.4338408514712726,0.3959612298743789,0.35033246322561995,0.30197158564653986,0.24925471039960692,0.1948478533758743,0.13918257883353127,0.07779424588034746
Hour 9,0.0612812044041308,0.1085318735475795,0.15355554546610958,0.19266825619864741,0.23350752979430656,0.2701813361148822,0.3018777236337414,0.331670604376135,0.36465092175344277,0.3894774440586204,0.2474692694402023,0.43746341482427664,0.40211769252727897,0.36515329708700367,0.3308227639097131,0.29136056275540745,0.2525456317661146,0.20944097824884086,0.16482452182127383,0.11880131978731721,0.0654563776576938
Hour 10,0.05556504066616018,0.10164218498117798,0.14229827245850876,0.18108566968111262,0.21347746668992917,0.24605275690019957,0.2773376181213472,0.3025894106638255,0.32700040510300754,0.3536542876646964,0.2763536638746338,0.40254686152158425,0.3731350992734034,0.34202631151288415,0.30780040340471015,0.2746585325787752,0.23561107393427394,0.19795703309284182,0.15534926290964396,0.1092645076145703,0.05997501056246149
Hour 11,0.03702976739290906,0.06096201622004159,0.08207454723026955,0.09810470605803645,0.11339239010329277,0.12498343304129136,0.13515172938892944,0.14470556048428904,0.15005468209509973,0.15873324908476968,2.290904150058502,0.610873909128958,0.5619616353770307,0.5093226642908546,0.45652074180394286,0.3992898169861208,0.34254959540487573,0.28276197890057414,0.22026293145735074,0.1533776025058277,0.08237736295729998
Hour 12,0.03565207156356943,0.06136458045750431,0.07682466866841675,0.09169023366765401,0.09990482534331431,0.10806687004543952,0.11631360694477316,0.12290522099202576,0.12267593616782572,0.12497816552140684,2.8581699001523546,0.6921502158281683,0.6363544071617042,0.5766945017912533,0.5148669003679102,0.4521082607565511,0.38729905211746407,0.3184073219445902,0.24808241530344116,0.17240141874739331,0.09095387445992029
Hour 13,0.05977929872323649,0.10656087146920601,0.14949422424456893,0.1891825081019303,0.22740976018485348,0.25969828125393163,0.28832062466374575,0.31541948307516376,0.3422235489354229,0.36886810482704147,0.4701683812431767,0.4586588676719565,0.42643466853887285,0.38987717342361555,0.35464167387288315,0.3149496208121559,0.27327880994010617,0.22786345577199263,0.18042216007875983,0.12818295407059627,0.0712791313344434
Hour 14,0.053840754846092374,0.09656004348420033,0.1347978183180325,0.16997959876111907,0.19707633693272764,0.22652845232526522,0.2542317652090791,0.27951320188380463,0.30398631696899403,0.32731386571778814,0.47958238518691587,0.4189760610050563,0.38842785346579844,0.3552380926550507,0.31956235319981074,0.2828596341536686,0.2462592567605665,0.20413894478779246,0.16153333454639662,0.11373873525408146,0.061856722845358744
Hour 15,0.05656205632824008,0.10406730982769989,0.1447264213703072,0.18072024172653975,0.21584612831373207,0.2497968650904198,0.2748624751658714,0.3023994166819617,0.32478349303430926,0.3451477551817309,0.9452614456397619,0.5298581069498999,0.4879262640239566,0.4473951151806561,0.40547082038848464,0.3586973711012934,0.30841833035682037,0.2554927797194174,0.20041074577092605,0.14207148346904652,0.07846926074593885
Hour 16,0.05795113610044061,0.10348710363718727,0.14410185393574415,0.18245016596311245,0.21522903286712733,0.24619176527534561,0.271680316994597,0.29169546369460747,0.3147095111007987,0.33636358154929,1.2575458955153849,0.5884847844612098,0.5432820374411705,0.49505600983946624,0.44503335934302074,0.3929797856437098,0.33962502938484934,0.2834621741737173,0.22229297733952413,0.15606018889835063,0.08394171106600083
Hour 17,0.06736495605127264,0.12066714224023922,0.16978835210746732,0.21545330551006983,0.25412564657574505,0.2925848428342195,0.3299260441059342,0.36216567889930446,0.39322883791500196,0.4260015792830929,0.044870372333054576,0.43461439470738344,0.4033152475581765,0.36873700058976006,0.33576559111139404,0.29823745579029143,0.2604357250599359,0.21545544672023387,0.16935471841365524,0.12023189945342291,0.06631791866176097
Hour 18,0.06802252160177716,0.12426544330821805,0.17725101070738827,0.22434436692645654,0.2699649203308557,0.31309568077242206,0.3533872776416706,0.39014480857880685,0.4270236803932299,0.45925283582392784,0.22949663671201748,0.4045640588593152,0.37496558417036535,0.3466723769136232,0.3151012319527358,0.28182187592312624,0.24710115238878907,0.20893009755627961,0.16701828252651651,0.11835514196394836,0.06659649433649796
Hour 19,0.07160811761966387,0.12631435639966046,0.17880395342573321,0.22642963115862272,0.2698399121080008,0.31248920838817573,0.3541798644714628,0.39173037538880023,0.4296735737555892,0.4611585290366346,0.3596181333359887,0.3934261567520796,0.3671886888396219,0.33571675494961056,0.3071869226833119,0.2720804210088873,0.23554979870378845,0.19853396407902513,0.15897658867510578,0.11294697133031821,0.062369315105849935
Hour 20,0.0999418392774134,0.18378541273620372,0.2650409873936267,0.33879993337631525,0.4110392265410909,0.4805759610525364,0.5469520467648741,0.6135659156567068,0.6812103440535724,0.7454041348736613,2.7894108151267147,0.17417711320655885,0.16898104827112612,0.16170674105222602,0.15561345399120985,0.14295196601564888,0.1306253709904021,0.11555551466485493,0.09673041268360291,0.07377675840343656,0.04401813640085944
