,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,30.514089584350586,24.258047103881836,22.460277557373047,20.995384216308594,19.508012771606445,18.779033660888672,17.07505226135254,16.344572067260742,14.87394905090332,13.731552124023438
Hour 2,24.006345748901367,20.94823455810547,18.950115203857422,18.759082794189453,17.37127685546875,17.222496032714844,16.27840232849121,15.297470092773438,14.8076171875,14.215465545654297
Hour 3,25.53387451171875,22.950592041015625,21.946666717529297,16.97597312927246,16.513408660888672,14.83119010925293,14.392557144165039,14.082958221435547,12.867355346679688,9.752801895141602
Hour 4,23.48271942138672,21.17332649230957,20.530712127685547,19.969987869262695,19.08814239501953,17.14171600341797,15.6607666015625,15.326419830322266,13.349685668945312,13.111989974975586
Hour 5,27.996173858642578,23.785781860351562,21.424327850341797,20.674060821533203,19.665910720825195,19.2987060546875,17.276704788208008,16.933408737182617,15.473731994628906,10.384933471679688
Hour 6,23.338911056518555,21.672313690185547,20.065282821655273,18.207983016967773,17.62464141845703,16.716554641723633,16.363222122192383,15.421976089477539,14.624259948730469,8.809955596923828
Hour 7,27.412586212158203,26.20795440673828,24.941757202148438,22.389863967895508,20.793012619018555,19.34454917907715,19.00321388244629,18.556882858276367,13.440139770507812,10.242721557617188
Hour 8,27.338693618774414,24.911094665527344,23.50543975830078,22.508548736572266,21.435810089111328,19.68764305114746,17.589508056640625,16.96735382080078,14.840860366821289,8.656595230102539
Hour 9,30.32415771484375,28.0653133392334,25.555469512939453,23.36359214782715,20.982398986816406,19.311704635620117,18.619211196899414,17.8471622467041,16.912233352661133,10.713750839233398
Hour 10,26.135047912597656,25.09825325012207,23.75114631652832,22.50770378112793,20.95225715637207,19.74793815612793,18.60440444946289,16.592954635620117,16.09687614440918,13.396446228027344
Hour 11,26.274484634399414,22.79030418395996,22.3383731842041,22.05957794189453,20.749608993530273,19.920949935913086,19.66644859313965,19.37774085998535,16.256229400634766,15.951301574707031
Hour 12,28.921337127685547,23.75592613220215,22.65814208984375,21.563434600830078,21.001060485839844,19.845523834228516,19.33731460571289,17.62189292907715,16.36823272705078,13.0467529296875
Hour 13,35.73379898071289,28.308822631835938,26.981910705566406,25.24308204650879,24.76232147216797,23.0058650970459,20.524078369140625,20.127893447875977,18.121898651123047,8.315162658691406
Hour 14,29.242128372192383,26.067243576049805,25.426345825195312,24.39837074279785,22.91132164001465,21.583545684814453,21.3347110748291,20.20623207092285,17.892616271972656,12.3619384765625
Hour 15,33.61030960083008,30.570383071899414,27.31825065612793,26.06772804260254,24.646682739257812,23.110950469970703,21.71367645263672,19.869314193725586,17.790000915527344,10.580467224121094
Hour 16,31.576549530029297,27.884235382080078,24.96037483215332,23.990493774414062,22.76258659362793,21.1947021484375,20.847265243530273,18.882413864135742,18.370100021362305,9.67666244506836
Hour 17,26.332727432250977,24.451923370361328,22.630285263061523,22.217565536499023,21.181015014648438,19.99493408203125,19.849702835083008,18.07144546508789,17.274559020996094,15.619768142700195
Hour 18,28.707775115966797,26.285730361938477,22.093250274658203,21.565143585205078,20.74974250793457,18.528839111328125,17.791810989379883,16.852867126464844,15.992063522338867,11.185089111328125
Hour 19,30.9989070892334,25.475988388061523,23.514293670654297,23.340518951416016,23.072553634643555,22.37285614013672,21.813243865966797,19.986103057861328,18.641529083251953,11.725833892822266
Hour 20,26.355186462402344,24.064128875732422,20.763315200805664,20.644014358520508,19.87749671936035,18.457014083862305,16.989564895629883,15.87106704711914,15.463302612304688,14.365169525146484
Hour 21,33.241172790527344,25.359432220458984,23.595182418823242,22.741056442260742,19.860980987548828,17.51624298095703,16.40483856201172,15.71419906616211,13.864753723144531,13.222747802734375
Hour 22,36.17618942260742,24.091487884521484,22.660995483398438,19.976001739501953,18.016193389892578,17.481250762939453,15.982799530029297,46.34775161743164,50.40747282240126,133.39813613891602
Hour 23,29.804061889648438,25.952171325683594,19.917713165283203,18.319007873535156,145.83067016601547,178.802214304606,163.8788441249301,151.868495941162,171.3157187567816,203.8282798767089
Hour 24,30.20876693725586,25.706462860107422,24.166967391967773,21.7572021484375,28.719702911377226,50.97638193766299,69.91192953927195,91.64920806884783,85.24372058444568,83.36138687133803
