;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05
Hour 1;23,33093969;19,97650134;19,1972556;18,18173488;18,17975648;19,40695789;18,4094192;20,84173209;20,95865498;22,38826648
Hour 2;28,20423858;23,71256859;23,82249838;21,32372678;20,75484946;20,99714429;20,63603014;20,71486375;26,10373643;30,54767024
Hour 3;22,54101556;31,64412948;31,35238699;31,6299265;31,58068076;31,15257187;32,57826262;33,66831595;37,71710045;44,52037133
Hour 4;48,04097219;32,33479014;29,96518225;36,24304027;33,34863908;34,98633299;36,92188391;35,77535703;40,57542229;44,11713691
Hour 5;27,64407902;25,84992138;24,28255959;28,81029043;28,88381844;29,78126542;30,76134475;33,9470896;34,17302516;43,89573924
Hour 6;24,4810807;20,76633066;19,78436447;18,36842445;23,63232773;24,01966068;24,32911885;29,02129912;28,93566577;33,19789343
Hour 7;23,81206309;20,77519663;19,32240185;18,11739934;18,14645792;24,14186111;23,57262172;22,86246946;25,76781974;28,28750998
Hour 8;24,836894;22,14723722;23,60163941;24,29649021;22,57424762;25,23484292;26,40608159;29,22119516;28,34566577;27,4784198
Hour 9;25,59896752;22,61262309;21,09474281;20,86872501;20,65618821;20,12780934;19,78915297;21,44738117;20,15644242;26,21630248
Hour 10;23,84597686;20,78831777;19,29317727;18,29187246;17,27788273;16,3783661;16,43979242;17,05807569;15,95640766;17,6267699
Hour 11;23,33861757;20,84394203;19,32295689;18,2408774;17,35405965;16,45065738;15,67634767;14,74299597;13,41680194;14,33366446
Hour 12;23,6959319;20,5201536;19,03290792;18,04302265;17,22765123;16,22830163;15,47433773;14,57767425;13,49590234;13,56161807
Hour 13;22,88594855;20,5231202;19,31673573;18,23919579;17,26275838;16,48999362;15,6157536;15,88468318;15,09540671;15,12491294
Hour 14;23,14069379;20,73677801;20,96929279;20,59619774;19,33783589;18,55623807;17,98940334;17,81346426;17,91740532;17,62898441
Hour 15;24,12231125;21,81810022;20,3175781;19,32013512;18,36083375;17,66552464;16,85821785;15,94715697;14,9645025;14,45767139
Hour 16;24,98139172;22,62846215;21,69254051;20,73880472;19,80691067;18,88374378;18,11685981;17,09356253;16,07614899;15,72583949
Hour 17;25,66784194;22,805494;21,50976409;20,37209572;19,6350537;18,84424603;17,97350822;17,02786556;16,10006099;19,814576
Hour 18;25,69659375;22,27300539;20,92286042;19,77148801;18,78743639;17,65659757;16,94358912;16,03144086;15,1371655;13,20539388
Hour 19;27,0257705;23,21707221;21,29366413;19,94126111;19,08384662;17,90567601;16,87325361;16,08364462;14,91135942;13,13384905
Hour 20;28,33484588;23,88296835;21,94555652;20,13314382;18,88451059;17,74944065;16,8361646;15,84327858;14,66472158;16,66172526
Hour 21;27,6900844;23,61944857;21,29914351;19,94176003;18,61496433;17,69219971;16,85544611;15,68962509;14,59732457;15,07416784
Hour 22;26,39201244;22,60587778;20,80690495;19,08563688;17,70802824;16,75155947;15,75341649;14,7971216;13,64985952;12,40945545
Hour 23;24,47557948;21,21646303;20,22316094;20,34014942;19,47490707;18,9692864;17,55882827;17,03207311;16,52310518;21,57310245
Hour 24;26,03447963;23,25113592;21,46848346;22,77119372;22,9109698;24,83290724;26,96458413;27,50584319;27,52439977;32,21698917
