,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.07124906539916992,0.1256084632873535,0.1650820255279541,0.2062105941772461,0.22905478477478028,0.26935735702514646,0.2955820655822754,0.3036846160888672,0.3345142078399658,0.32300815582275394,0.1895122528076172,0.3384664535522464,0.3977572631835941,0.35479156494140657,0.32496084213256865,0.30349948883056665,0.26121931076049826,0.22182594299316427,0.1922133636474611,0.1436701583862306,0.07642057418823249
Hour 2,0.06721410121917724,0.09185407333374024,0.1046387912750244,0.13549487457275391,0.15997776222229004,0.1796159843444824,0.19181045417785644,0.21797377319335937,0.23008957443237302,0.21947945022583007,2.5763551330566408,0.37746831512451207,0.46002074661254927,0.42883256225585975,0.3931242286682132,0.34142682037353544,0.2881918029785159,0.25109520568847676,0.21552154998779316,0.17305969543457048,0.0947239891052247
Hour 3,0.05545908546447754,0.10995772552490234,0.13363994407653806,0.16517820739746092,0.18600781440734862,0.2216190490722656,0.23789493751525878,0.2675519256591797,0.2764170112609863,0.2864348030090332,0.10828933715820277,0.2772333526611331,0.2539071235656741,0.27976733398437525,0.30102146911621125,0.2857682647705081,0.24759494781494165,0.20142327880859395,0.1575532836914064,0.10959923553466808,0.06134668731689459
Hour 4,0.088083025932312,0.15994557762145994,0.21882195568084714,0.24074623870849607,0.22187310218811032,0.25369544219970697,0.26344048881530757,0.2999645385742187,0.32806473541259756,0.21003601074218745,1.2686750411987298,0.2950514602661136,0.350914890289307,0.3225252380371097,0.30603963470459017,0.28250374603271516,0.24044832229614282,0.19898776245117208,0.16083500289917008,0.1450869522094728,0.07516514587402351
Hour 5,0.06792106380462647,0.1346631000518799,0.19825731010437012,0.22353856048583987,0.27441884231567387,0.32411872329711916,0.3628405635833741,0.37026826782226563,0.38700029525756835,0.42926895523071296,0.6610000228881834,0.3125554809570315,0.3416840538024905,0.32241972045898465,0.29639181442260765,0.2738175064086916,0.22848948287963886,0.18943526306152358,0.14231934814453137,0.12428966064453136,0.06395290145874029
Hour 6,0.06749120597839356,0.1189096046447754,0.1747628082275391,0.22256114501953128,0.2640987815856934,0.3029346015930176,0.33766753349304207,0.3772086242675782,0.3505622188568116,0.3473010902404786,2.7973717498779305,0.2865708465576174,0.29900383071899433,0.30463982543945334,0.27598249282836934,0.2646860000610353,0.22486892318725601,0.18629124145507825,0.14224414215087902,0.115371534729004,0.08075038070678717
Hour 7,0.08680025939941405,0.14844381103515622,0.21721838607788083,0.27567462463378906,0.3255744400024414,0.38349179534912103,0.43341218147277827,0.4848926452636718,0.4536699382781981,0.24825800704956047,2.210346107482909,0.13904315185546898,0.26687431411743195,0.27527520141601597,0.25193200912475616,0.21954752655029322,0.18984733200073264,0.1607736633300783,0.1357107673645021,0.09352689971923839,0.05520154113769537
Hour 8,0.09629750957489012,0.18885124664306638,0.2733471462249755,0.35297852478027336,0.36876240921020503,0.418498777770996,0.48634666137695304,0.5526159088134764,0.6197157875061033,0.6752964248657225,2.6295292282104477,0.12762162780761746,0.14484664764404323,0.16347135620117215,0.16029764480590847,0.1743651443481448,0.18587616729736353,0.19484656372070336,0.19926451950073265,0.14025413055419939,0.08946180114746104
Hour 9,0.10225967502593995,0.19673491668701176,0.2719677715301514,0.34655527496337896,0.42799137115478525,0.4559332237243653,0.5150492782592775,0.5826966552734376,0.6323478641510011,0.5200913047790529,1.1879802703857436,0.07163414001465114,0.06866441345214837,0.23710696411132823,0.27794417190551773,0.26836923980712907,0.22514974594116224,0.18764871215820322,0.15424822998046883,0.10576027679443366,0.05306312942504886
Hour 10,0.08393344154357908,0.14515295486450192,0.21392633171081538,0.2545309539794921,0.30286308479309076,0.3077597946166991,0.3499706428527831,0.35283334655761706,0.3888327804565428,0.3765166511535643,0.2247865295410172,0.3110784301757817,0.3039894470214848,0.2891369445800785,0.2534904319763187,0.2466997009277347,0.242182052612305,0.21475470581054712,0.16586035995483417,0.11493571777343764,0.06498098144531257
