;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05
Hour 1;23,84913112;24,70902689;22,01624903;20,81056724;21,16278896;20,74621779;19,1970596;19,3419694;20,54832038;21,72724873
Hour 2;23,34933176;20,59820569;29,47563042;28,02083563;26,10186485;26,85939594;24,66281018;22,88011877;22,90442809;22,04371654
Hour 3;23,32722369;32,00276227;26,63210409;31,97295047;28,91878889;28,00913932;27,08371612;25,99794591;29,377267;36,5062834
Hour 4;49,55734616;34,12531287;30,59951678;32,57222865;36,59136152;38,19525327;36,50131821;33,80190296;32,40546434;38,92652168
Hour 5;24,91448082;39,17945216;34,51310102;32,25926799;32,33924324;33,15542266;32,92970185;32,73436786;32,23377797;40,84595275
Hour 6;24,67803752;20,50790159;24,55220936;24,68525419;25,78122725;24,96947092;26,41231361;28,86686867;32,59926483;37,78392864
Hour 7;23,82668526;28,11941713;24,35345285;22,51755308;25,84015126;24,37029471;26,93243085;26,75095884;26,34170076;32,80765784
Hour 8;60,55560007;41,68982746;36,38043324;31,40476227;28,85901792;27,94130721;27,59659374;26,76555258;27,5754502;29,63831276
Hour 9;25,31259297;35,58911182;30,15713359;26,96383002;26,06638587;27,92832016;26,67844941;26,66189151;27,98875191;35,59265503
Hour 10;23,58673182;20,5006301;19,22893863;18,56069269;20,01973673;20,59537941;21,87127545;21,73005086;22,77319415;22,58017311
Hour 11;24,21743135;20,64549821;19,29006792;18,18767222;17,26299778;16,14564194;15,25198186;14,51206736;13,33372065;16,66048787
Hour 12;22,95642447;20,52673555;19,2685908;18,13575406;17,23191544;16,45095665;15,68620571;14,82685249;13,65872802;13,0244614
Hour 13;23,67249858;20,5470314;19,22251652;17,98076365;17,9794587;17,57976122;16,67496096;16,76996096;15,64289053;16,16197091
Hour 14;24,14036259;20,70880748;19,11223233;18,85269005;18,72817534;18,69870235;18,6735996;18,596885;18,05014407;17,09169858
Hour 15;24,79020094;22,06087032;20,33483917;19,23668837;18,3528878;17,59566756;16,91663877;16,91515652;16,32597651;18,68661385
Hour 16;25,73917081;23,23585258;21,71150897;20,3127023;19,30943926;18,5646086;17,88981444;17,01347019;16,79363213;15,11534611
Hour 17;25,51715795;22,78850592;21,51526408;20,35519514;19,38530085;18,50005168;17,61499885;16,79705195;15,98953129;15,71074577
Hour 18;24,71079236;22,01202017;20,29327331;19,25138012;18,42987405;17,59111737;16,73440035;16,01734838;14,79299139;13,43894471
Hour 19;27,40621382;23,13320308;21,47194819;20,14732379;19,23241892;18,22869209;17,30940554;16,10560448;15,31648414;14,14227722
Hour 20;29,10506765;24,47144416;21,76991887;20,25719526;19,12131248;17,94486464;16,84149465;15,89637233;15,15391534;15,88833191
Hour 21;27,64319881;23,6003421;21,85954026;20,28344019;19,11678105;17,64321893;16,75925163;15,81482844;15,29512192;16,72542823
Hour 22;26,52033535;21,82479489;20,11943682;18,97058401;17,78470021;16,90193742;15,81339732;14,80955899;13,7777454;19,04763887
Hour 23;24,43033575;20,54954584;22,84147394;20,8193475;19,72431431;18,60110248;19,09576817;18,61119117;17,4534953;21,83437857
Hour 24;33,17621932;32,77844109;31,20693564;28,24418068;28,96484926;28,25706974;28,00776867;30,41303167;29,3044564;36,27284647
