,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.05676668963619988,0.10169294293552507,0.1422595312177123,0.17955424649777119,0.2222738667479112,0.26184947859780405,0.29975227040837477,0.3359121047435899,0.36905385660811296,0.40095015746574153,1.0407466235815996,0.309616129682026,0.28435697619599165,0.2573525052039496,0.22859093702814237,0.20493970129386482,0.17988743183548664,0.15199740627292985,0.12192083659457831,0.08834659266080432,0.05050575101192121
Hour 2,0.05856944956028861,0.10443398631195264,0.14485645627687638,0.1818289294770398,0.21664479129696365,0.2490061903125824,0.2854912643734347,0.32088472505364185,0.3551842465446104,0.38786072926671467,1.514717589074876,0.3611960793812789,0.32436025636425714,0.2872179954004258,0.25146024268113576,0.21121066419677212,0.18608158128109326,0.15823027339064472,0.12789992739179507,0.09356359845439464,0.05396131455442657
Hour 3,0.057146357666666585,0.10276402776633227,0.14296177749786465,0.18091381741943,0.21638487254902836,0.24971110272126407,0.2817679307764266,0.31186077384782535,0.34106970085706867,0.36883848852478895,1.5704546716781171,0.4241081387088488,0.3925592604933705,0.35538442935336007,0.31153939968374367,0.26722946947455817,0.21114683079933266,0.16589891077558183,0.11608121119846583,0.07654680047288649,0.044450165371580794
Hour 4,0.06115885001230566,0.10954252977591489,0.15297323204668292,0.19345734376964288,0.23094840615558118,0.26625755528132744,0.3001328865418108,0.3323921881263091,0.36794364493754206,0.40338001710388405,1.747926783657971,0.37287471567782854,0.335152326386786,0.29872466757964106,0.2592692818252103,0.20671593835512397,0.17242817367596888,0.1361268608988118,0.1057093258838608,0.0781283355772316,0.045157390556779246
Hour 5,0.06313950857437325,0.11314136401599369,0.15779573533026342,0.19878106127488834,0.23876589561451164,0.2829765570563404,0.32566151653166736,0.3660834188046956,0.40530151794078384,0.44253475507504375,1.8259527686385957,0.3829680547353077,0.34880321517786494,0.3131428438004153,0.2737523306011409,0.2412567754376013,0.20265854841990025,0.15867546427719698,0.10925500025187054,0.07637268883210395,0.0437952242806706
Hour 6,0.06661255480996348,0.11966750154700113,0.1669515579034499,0.2107167394026297,0.2521069175111803,0.29092596021780104,0.33002858989731826,0.3737328952524145,0.41508559066615747,0.45504356407573243,1.8519303211021803,0.27800982762751175,0.25255551891941586,0.22893273606661416,0.2086726981008479,0.18814775083274785,0.16616503460514775,0.141916844033866,0.1151392081576894,0.08485185574134349,0.04900476486961069
Hour 7,0.06350153388154518,0.11605704226062487,0.16337682289889735,0.2069520739817697,0.24818221059710327,0.2874269206496717,0.32422117507597253,0.360127787113609,0.3939793247622887,0.4265981869974934,1.5999862402284968,0.31760591051170123,0.28146635879479015,0.24533010408035114,0.22211799244276584,0.20014736491073262,0.17575553634446517,0.14884446811434923,0.1193900203443036,0.08693766922311848,0.04905554005277182
Hour 8,0.06822363847889582,0.12186001498173361,0.1700476047527166,0.2146660628204955,0.25631958892419554,0.2955917787546691,0.332883495947629,0.3684977227168294,0.40250814175465494,0.4350589675759416,1.3438859607262608,0.4182678232525537,0.38447649894955366,0.34845078312581124,0.3097007046348715,0.2680959275506692,0.23156855663619597,0.18982318966572692,0.14542686394971613,0.09098119910480057,0.05326247972279671
Hour 9,0.06923773545768526,0.12272735217381443,0.16975606583454944,0.21302178740228714,0.2533462913628796,0.2909762808250077,0.3261862289577194,0.3600043367584338,0.3914162763128675,0.421949804163393,1.3766113842469405,0.3766787891825938,0.3410188328481045,0.30382271374174535,0.26209209725241217,0.22197444935949098,0.18897000088922208,0.1620137407390127,0.13166690549691787,0.09769457219887302,0.057420770799584867
Hour 10,0.05323820315783322,0.09544247835530709,0.13300409722050974,0.16734714561510752,0.1995785750666913,0.2297797421899432,0.25774038093275903,0.28467917964229217,0.30985486674946844,0.33382208055563567,1.2641244161204814,0.4266989217664005,0.3943479097505882,0.35679714997432904,0.31636229816571165,0.27415557595396756,0.22899403574547997,0.1852221899294332,0.1405766254311445,0.09168917958087561,0.047969669259153254
