,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,21.454488129624213,19.00395355963293,17.612024520819364,16.57758263853505,16.415108840233664,16.070694925121696,15.760049099258504,15.744464994094434,15.593526859453066,15.402057569814037
Hour 2,22.506152822943022,19.799758476634715,18.18375891124476,17.002960143384215,16.109054903122274,15.340561816978479,15.962401806231842,16.239774686690428,16.524844602677476,16.73070287449178
Hour 3,20.31930460764946,17.93108282392187,18.062319353620897,19.19138788943506,19.51822976767575,20.445093252339372,20.452235344154342,20.411508570790463,20.100051405730035,19.61078802603011
Hour 4,21.26324811381697,18.76708653531464,17.245503862036237,16.794444278459135,16.986655125970202,16.979571497641626,18.02041441382332,18.14295091733564,18.313702222044565,18.549857567952177
Hour 5,21.386946571008767,18.951405284809756,18.12702099095325,19.342461001536655,19.743653613695063,20.10998354311797,20.01877767239819,20.242427209708087,20.26869837922727,20.194389043533715
Hour 6,23.12346393591482,20.451935728834453,18.806051070742615,17.63167917182478,16.730878084653114,15.96912370168496,15.46228327084578,15.373249239182408,15.444255547263502,15.555339481685323
Hour 7,22.51141478686339,20.29947114837432,18.851122882880055,17.789827104805944,16.957509877662726,16.252476185346808,15.609690500535377,15.192369322454558,15.431018035117711,15.62535645215368
Hour 8,24.29722364033849,21.28412140865341,22.48112799293177,22.094795174479103,21.65566469107568,21.03098464061396,20.857643978302118,20.59348958831124,20.254237532514967,19.88776257147843
Hour 9,25.33170125145402,22.042192437268746,20.094864755431143,18.751776407064984,17.69265169008406,17.364221125951357,17.52074129256726,17.725089368261152,17.670230946031015,17.574317066026257
Hour 10,20.24157448339728,19.317227087676244,19.684670603035762,19.41564419657223,19.189875782023332,19.124410043185645,18.895724016994095,18.653361836236947,18.32806349457674,17.852886256242343
Hour 11,19.27405764000262,17.239455281944732,16.02994254683816,15.120183169393488,14.396073919485776,13.758254085857773,13.356664341214975,13.779692698380602,14.094324798875954,14.593231052321643
Hour 12,22.805744379585658,20.046000399979878,19.018110343347058,19.37899692395045,19.766918779160473,19.600773943827534,19.26663135285223,18.85848184221145,18.34149500941947,17.85007665304522
Hour 13,19.970238753854648,17.805207760534454,16.508614531364167,16.05723902516179,16.438563984429734,16.34853085993329,16.0128792495791,16.392030880800448,16.538898715974558,16.899786847521707
Hour 14,20.56123597786831,18.3152799389577,19.336098649200515,19.632635961139908,19.1923326996541,18.887163154879964,18.26975248434148,17.614796242437446,17.063905942814955,16.95951165332805
Hour 15,23.333708526929094,20.734915262200733,19.115240815633907,17.989103899015927,17.056971047777097,16.29544694204514,15.631203931838463,15.5980718582271,15.547318644553833,15.507370357439514
Hour 16,23.552941089155837,21.104432486006143,19.58522298297406,19.703426083865633,19.8182985024495,19.36466980803163,18.977576695683556,18.615086859963316,18.185842152454587,17.69314383315592
Hour 17,23.75744190643967,21.085879258092103,19.50224829504517,18.35847061702677,17.430464552983196,16.649728696647013,16.001055856508504,15.403098064473264,14.883865892578873,14.394084707709965
Hour 18,23.206741244037588,20.7076998576002,19.150420030909874,18.008701794569614,17.117835323668817,16.379010544549093,15.72292335088824,15.166466038087961,14.665133631451267,14.198666747147378
Hour 19,25.450647666976288,22.342056449256425,20.443306119202266,19.13199529789399,18.087487806483438,17.258788527222215,16.527404258547485,16.14791415811406,15.928821719239304,15.670010399204388
Hour 20,23.423142781356027,20.870604489801686,19.31918265241082,18.198974122226453,17.289373499321133,16.55834903923304,15.892962804142051,15.30958685491698,14.794865695764171,14.315277734369632
Hour 21,22.594668695146428,20.08508455990298,18.635191011367617,17.53219711690378,16.660296587938763,15.93606430109922,15.30420705568617,14.744202472635399,14.263578069311327,13.808106841427685
Hour 22,19.885214142125072,17.633097428262474,16.30601715815493,15.306695663094617,14.550592889373181,13.917128141889693,13.361670518605546,12.86297272137818,12.434794366804459,12.035806551409516
Hour 23,19.17720740186791,17.084864307778467,15.815270923164825,14.860841356452042,14.112943548598103,13.483440861981736,12.93198384762516,12.46058066788409,12.37849617640924,12.338931416827652
Hour 24,23.323085505363398,20.676584246084186,19.134008020609382,17.974168499953024,17.063359487922813,16.85587445845073,17.40653861967101,18.066274181171003,18.696909806010787,19.143523255230527
