,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.05002740149978684,0.09042075097048238,0.1266067612682664,0.15946438963212864,0.190013025401171,0.21869056096874512,0.24606030912015547,0.27150979083480226,0.2953352569612727,0.31714606010301927,1.1639838829858837,0.3365410347826393,0.3119281674009249,0.28592587237322603,0.258718691123851,0.2299901378400164,0.19978253391246112,0.1672804484402234,0.13255398213241595,0.09466469967224889,0.05229491332647295
Hour 2,0.05386196864029683,0.09701129836447095,0.135588315103911,0.17299652261556653,0.2167157900492216,0.2575271301966775,0.29482561591015716,0.32986460274334495,0.363137091736038,0.40015695999196454,1.5046498656665794,0.3398496214532411,0.31526753745247305,0.289239680679894,0.2620886770691839,0.23348388406686,0.20263107137899478,0.16976710736352615,0.1346260213536816,0.09616988765163009,0.05304309922035011
Hour 3,0.05376883239530763,0.0979474443053509,0.13798275918284994,0.17485240177819394,0.20940850930543062,0.2420240742530016,0.2729636490344181,0.3023512382904607,0.33055267272388056,0.35675374319830666,1.5947672219432258,0.40267299812306756,0.37154045752227305,0.33526348367885345,0.2952557063634471,0.255929188726719,0.2198806925159907,0.1821143941849959,0.14082542220846492,0.09240581689280097,0.04686472426189781
Hour 4,0.05600282019628238,0.10227443573072223,0.14442115898700567,0.1833037116869741,0.21965903372217424,0.2539095805396266,0.2865931454655215,0.3174553240159708,0.3474146839517939,0.37590725142157305,1.891211116615919,0.3958192760069795,0.3613288163661123,0.32553613449069935,0.28695624034580514,0.25474871306697117,0.21698001404181286,0.17751771593992655,0.13350473411515615,0.08290096622212662,0.046326318784412644
Hour 5,0.05651473552055353,0.10343728272606376,0.14629917511714552,0.18530571665310672,0.2222804295421425,0.25701369129422685,0.2902100102740151,0.32201680837537733,0.35242053021811887,0.38150987206742765,1.785700378064923,0.31902795856201605,0.28834629780571375,0.25421122436202825,0.22276652718026457,0.1992344544727632,0.1739038774331266,0.1463021568994021,0.11666603100601151,0.08406423179892342,0.04724968031266384
Hour 6,0.05860344009256703,0.10695088341662108,0.15056336646521704,0.19114569198802328,0.22954615719452262,0.26554382831643114,0.3000004106091368,0.339953156434741,0.3767805431317919,0.4117730918777631,1.7069513586553868,0.31220562423755066,0.2861341964863742,0.2588153690345917,0.22871101826011328,0.2049467100013783,0.17901326996224917,0.15080006912669652,0.12012939742724281,0.08648841237511924,0.04844746456832329
Hour 7,0.06212282756874216,0.11366867038321109,0.16007343734428178,0.20319372892462764,0.24374062250552064,0.2819497878914237,0.3185531994048058,0.35323014834712524,0.3859666217489908,0.4173267633465552,1.5010397998842169,0.3430452376974488,0.31457313538092535,0.28506551469534863,0.25206132031895984,0.22170563358717266,0.19342671184368662,0.16333098897696105,0.13008076728732837,0.0937607397927527,0.052515612849412696
Hour 8,0.062204893590234414,0.1132975390472362,0.15951458738859814,0.20192307993992042,0.24203672300559306,0.2795642416691138,0.31518883310118045,0.349159071609696,0.38183590944403956,0.41339369143865917,1.2388063197176105,0.376013405245615,0.34118721804904417,0.3030889689369936,0.26930250331288125,0.23388835020654264,0.1939305799541906,0.16195420579229974,0.12921333963749745,0.09288391902517144,0.052035669802877986
Hour 9,0.0596013314926255,0.1082284848396617,0.15172593224063108,0.19256381548400153,0.23045042191963852,0.2665658611121055,0.3009298635802932,0.33298454005554645,0.3637096578375078,0.3923970808472147,1.5657875213513548,0.42017407247829835,0.38116165529463053,0.3390460913192391,0.29435318788606407,0.24210346769854788,0.20050384912347868,0.1677190830171243,0.1338449785857377,0.09594116946104539,0.053434080258961666
Hour 10,0.051032524218647554,0.09206853130503544,0.12832536056793753,0.16138222682379041,0.19266147229572708,0.22174424744932672,0.24906554192360444,0.2751216615702485,0.2988858910134805,0.32227921978517904,1.3776554068410745,0.3538785451658472,0.32418287874315616,0.29361587713849113,0.2653760378297755,0.23600605098915836,0.20460551731837778,0.1715037450022026,0.13531233816694346,0.09653437518550702,0.053189857446340076
