,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,20.46446296525195,18.50854506427312,17.277382893378814,16.337241903617596,15.591822372545273,14.956023293625375,14.422257149828747,13.935891580200698,13.494742763604386,13.073741897713163
Hour 2,21.38101357212938,19.318118601610088,18.014289097172828,17.255017809789383,17.29082872210955,17.124064617172085,16.785979868339954,16.429682570174656,16.088219907707927,15.947895428662102
Hour 3,20.12671133144108,19.89370857622914,20.209559113007113,19.639588647237368,19.017120856151863,18.48716252113278,18.30192660115262,18.18398314962621,17.93093623631824,17.50573668656123
Hour 4,20.465827796138992,18.517540195284887,19.760756068986954,19.7065979519985,19.305446847220335,18.928574845529138,18.3336746335565,18.20269406605621,17.99330519897687,17.761720290065394
Hour 5,20.75288316664346,18.75015145249871,17.5310137415438,16.580393677625437,15.84737227901076,15.208271525566333,14.656472498693699,14.653363246646302,14.76076924440865,14.70435211797273
Hour 6,21.410180932178054,19.343929579174013,18.04618425949732,17.097288055735984,16.342377086270865,15.683017943926973,15.106040824835704,15.336422130089103,15.315948271270576,15.248183127997475
Hour 7,22.92768808363096,20.742941017596372,19.343613642107336,18.326235895079435,17.486693373968286,16.78851404928654,16.423275114918145,16.280330335460988,15.994218148083398,15.720180236623271
Hour 8,22.848112678622474,20.618145807240754,19.248528468406366,18.193864286611003,17.516333347881147,17.57955324541104,17.362612319299128,17.120067069237095,17.1195759208855,16.987074984267398
Hour 9,22.607082350317427,20.4169654300707,19.038060721757912,18.014144925056282,17.274763521298556,17.38811871109654,18.075290587509205,18.190528518855867,18.173431710655453,18.02953994126609
Hour 10,20.844476332997512,18.86029064905423,17.575846582325394,16.644298591299638,15.890679584564188,15.258343281282832,14.698330850096566,14.218438467718483,13.933794987493675,13.682357637030636
Hour 11,21.08090279623398,19.1104498217672,17.82187345692899,16.84954759413071,16.48204328329707,16.176694464862315,15.839907321802677,15.497580926431562,15.124240312864345,14.749601420822344
Hour 12,21.1454155062645,19.082005433859415,17.87483674215381,16.922790273716405,16.493421185803733,17.483497302179213,17.821950460297042,17.988488081378502,17.915558964551472,17.63120647432201
Hour 13,21.335227323934014,19.280329049896444,18.738922955798294,19.079980990641527,19.30444006582966,19.564224269539988,19.948821354931077,20.058208781714953,19.864588032773444,19.676150900982925
Hour 14,38.86386736898222,33.57885110222508,29.590043443675295,26.980363471246168,25.102932812704836,23.43068775368901,22.296524908839302,21.224502610876353,20.61369310584005,19.973547132597744
Hour 15,23.045296143899876,20.837848327744076,19.893209671914853,20.841687726785707,20.624512323346234,20.18067308719585,19.904503503303236,19.410273941312024,18.950023673995357,18.348132276815594
Hour 16,24.218656190317382,21.877337134200893,20.392911437498956,19.30485392514792,18.4044669145483,17.654902687182677,17.0089339618454,16.42358761676646,15.894167519970916,15.429044568142874
Hour 17,24.330640489464642,21.964337099431315,20.49680840059708,19.373801122106187,18.458302954908483,17.727635426318944,17.090375655069124,16.511217338705087,15.988607482562145,15.527622906589304
Hour 18,23.62594285552345,21.31787506603538,19.90295318782859,18.853227761137664,18.017333205163542,17.291361147545334,16.649738216645833,16.061149137182426,15.562418566510736,15.09721644996852
Hour 19,22.82591080797315,21.670580446728373,22.72189215084157,22.894580189503333,22.155550163769338,21.432727452820874,20.83699245988373,20.14606395834047,19.5616137488089,19.00438632722202
Hour 20,23.476376225929023,21.25947555079055,19.837147516081842,20.444394326179317,20.716511193919228,20.699099325034588,20.378072332286628,19.83161368329617,19.305680648440568,18.870860238652924
Hour 21,22.218293231326292,20.12491533628034,18.800956737013205,17.79246907073971,16.994220030498777,16.30622555301493,15.721319970017275,15.18055899253606,14.700965650050133,14.53212212564013
Hour 22,20.589517300950313,18.68036324536888,17.402561935085004,16.49333435153411,15.745182955122008,15.123564128377955,14.565868556484004,14.081749843001642,13.621510765828177,13.208358585946275
Hour 23,20.53217752054021,18.570704131882344,17.38268144597632,16.4704271634407,15.709833553340518,15.048492837834733,14.509715573706371,14.020627843223295,13.589844537738372,13.184476051316858
Hour 24,23.061837113092775,20.852943356127163,19.469723372095658,18.41660107957084,18.09547420356838,18.00008453542672,17.632856807745632,17.393763044609745,17.468635253356517,17.453967119353365
