;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05;q_0,5;q_0,95;q_0,955;q_0,96;q_0,965;q_0,97;q_0,975;q_0,98;q_0,985;q_0,99;q_0,995
Hour 1;0,074252407;0,126460587;0,174394685;0,217812692;0,258750737;0,29589207;0,331800908;0,358108356;0,366924192;0,348228142;1,39064479;0,460997573;0,375683311;0,324436492;0,238456783;0,219731215;0,168008662;0,133906058;0,106581466;0,073304426;0,042402291
Hour 2;0,072930207;0,123636217;0,171760232;0,212603685;0,257776545;0,293072522;0,320995581;0,347453387;0,369541125;0,353200998;1,857308444;0,675002625;0,510719631;0,346802292;0,301701999;0,25945009;0,210762345;0,175308938;0,148410156;0,097486937;0,057656559
Hour 3;0,070599533;0,123886307;0,170800551;0,215203492;0,255981424;0,290401445;0,323708886;0,351749056;0,368385933;0,371279661;1,639083929;0,993135487;0,745891516;0,580028128;0,488888595;0,398768907;0,337159587;0,268259748;0,197802141;0,131053188;0,042105545
Hour 4;0,075654882;0,126943111;0,174770822;0,21616386;0,250410701;0,284970042;0,314959198;0,340973439;0,362187556;0,366887473;1,963230702;0,973310882;0,81310437;0,628907483;0,570577977;0,45783933;0,358291311;0,311537654;0,183366221;0,131882631;0,101929877
Hour 5;0,082475644;0,137290271;0,181316014;0,228236058;0,274099432;0,314584809;0,345418562;0,371850245;0,389616421;0,448234722;1,910197881;0,903285811;0,655330302;0,576419347;0,445318869;0,365437916;0,292087599;0,232364582;0,139200259;0,095497346;0,049299222
Hour 6;0,07906036;0,133782514;0,184778994;0,228941594;0,27411892;0,315304023;0,349947617;0,380481924;0,408810996;0,424108786;2,254512905;0,690781328;0,538189451;0,48006956;0,337347344;0,281590527;0,229526098;0,130810756;0,105932391;0,073880792;0,043345043
Hour 7;0,076272368;0,136206746;0,193181409;0,242395701;0,291779172;0,335079851;0,374900707;0,405366926;0,429239524;0,433859454;1,675027825;0,556674187;0,446023812;0,337351643;0,304919997;0,269058096;0,148363309;0,119952286;0,096654619;0,07154522;0,042787948
Hour 8;0,078904268;0,14264761;0,203320337;0,260284573;0,313495293;0,366122249;0,410540575;0,449993133;0,482465881;0,465263717;1,572074965;0,533930292;0,480833057;0,444710568;0,341847831;0,276068774;0,20188652;0,177573583;0,128109615;0,07831033;0,045280202
Hour 9;0,075420903;0,139193221;0,196624151;0,250202471;0,298911373;0,341447138;0,382922019;0,416522488;0,443504791;0,457407438;1,444973092;0,521467334;0,334452989;0,324133665;0,254252168;0,223975691;0,193649348;0,15653336;0,119796991;0,08693301;0,052573935
Hour 10;0,067824029;0,118023668;0,16639974;0,213519414;0,256965384;0,293709538;0,327310784;0,355641182;0,373052855;0,357755369;1,44865463;0,366350632;0,285807121;0,27468286;0,229196876;0,197641446;0,174981685;0,152318035;0,122997919;0,08985951;0,051405855
Hour 11;0,063411329;0,116604708;0,162645036;0,205639146;0,244682079;0,276517334;0,30871252;0,339250766;0,347834034;0,339975267;1,562734471;0,30723239;0,255922054;0,250469073;0,239959649;0,217002387;0,189169412;0,159178402;0,127199317;0,091834713;0,053281759
Hour 12;0,060916089;0,107338067;0,148659013;0,188407898;0,22493126;0,254648467;0,284002277;0,30390595;0,315706948;0,337250666;1,360876475;0,293178491;0,291608657;0,27920102;0,257599543;0,232200582;0,205760021;0,172452555;0,136834606;0,097863469;0,05756357
Hour 13;0,058472203;0,104977525;0,147777986;0,184909471;0,218642098;0,250602595;0,275424924;0,316557883;0,336298956;0,34349265;1,305153319;0,328035068;0,309388822;0,296152905;0,271126452;0,244097214;0,212926862;0,179874445;0,141973049;0,100253677;0,055957539
Hour 14;0,05874664;0,104229507;0,153633559;0,199848517;0,232922621;0,2670273;0,297909736;0,337475622;0,379133183;0,414862232;1,383060962;0,319928605;0,327372387;0,310074826;0,289368041;0,259566232;0,224776329;0,187811793;0,148020938;0,103138274;0,056956829
Hour 15;0,064633308;0,116929704;0,163298314;0,206067118;0,24420469;0,281553879;0,311745258;0,337612109;0,353822879;0,378200307;1,399136072;0,310749557;0,313647013;0,300274169;0,278292367;0,24841186;0,214816154;0,180335584;0,141465358;0,101251298;0,055978248
Hour 16;0,068728046;0,125809937;0,180156315;0,231140389;0,276293681;0,316898842;0,356351144;0,384600431;0,409649722;0,395138143;1,488112212;0,34772242;0,313776982;0,29914207;0,277738949;0,249613471;0,218879086;0,183635706;0,145231792;0,100474684;0,056178912
Hour 17;0,071746562;0,127038177;0,179954111;0,225995888;0,272411604;0,316925231;0,349839366;0,380360424;0,409171027;0,462782554;1,67238216;0,384361779;0,315331718;0,300754199;0,279233422;0,24840215;0,218464738;0,181446027;0,14269235;0,101016764;0,056592647
Hour 18;0,06958297;0,123335071;0,174031195;0,21865422;0,262262081;0,296777102;0,335854097;0,36545514;0,394333983;0,381868528;1,676712141;0,278401166;0,286838464;0,275802495;0,257171522;0,232920825;0,207423829;0,17677554;0,139811711;0,099394983;0,058899998
Hour 19;0,06689448;0,122773335;0,174903642;0,222199806;0,270111607;0,312931311;0,348438767;0,38541295;0,402333479;0,392407719;1,590982393;0,264284733;0,268677695;0,257932835;0,242125109;0,224238969;0,206984558;0,176625416;0,14450132;0,109397387;0,068234372
Hour 20;0,066445707;0,121895514;0,174512323;0,223600607;0,266196697;0,305898905;0,345483139;0,374301613;0,400533224;0,403055634;1,654467564;0,33337004;0,259379247;0,259429531;0,243782622;0,226584315;0,205916068;0,17906227;0,154671025;0,116934169;0,075228522
Hour 21;0,07564236;0,136711412;0,184571115;0,237038101;0,280949501;0,324475674;0,362434273;0,389086925;0,41095839;0,406576182;1,324924885;0,28597012;0,244770954;0,238498079;0,227506341;0,206290318;0,184424607;0,1617971;0,134916038;0,099483074;0,062808061
Hour 22;0,07436246;0,131638308;0,182095982;0,225950448;0,268096382;0,307407543;0,340957457;0,371015625;0,39232614;0,373245879;1,368583069;0,224880201;0,221917538;0,220869239;0,210412121;0,195139242;0,174604324;0,15576229;0,130007593;0,09442047;0,057597602
Hour 23;0,075478024;0,131866636;0,180696;0,22756721;0,272579122;0,311184931;0,343870922;0,365877843;0,386151858;0,390498192;1,566882184;0,430899511;0,272838256;0,251868414;0,224294157;0,212072817;0,181334147;0,154201466;0,1151305;0,080297994;0,046899874
Hour 24;0,087898679;0,158895371;0,226263216;0,287555031;0,347376045;0,406141336;0,455461602;0,498771465;0,532548116;0,533991296;2,014823645;0,611237951;0,438623618;0,383712717;0,324180495;0,244327055;0,180191458;0,142227068;0,095764036;0,073615988;0,042273719
