,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,23.330939692835653,19.976501341789,19.197255596037827,18.18173488493888,18.17975648449313,19.406957892961394,18.4094191959926,20.84173208667385,20.958654977942025,22.388266483429934
Hour 2,28.204238583964685,23.712568590717932,23.82249838306058,21.323726777107485,20.754849464662612,20.997144288914182,20.636030144405808,20.714863746396954,26.10373642624065,30.547670241325132
Hour 3,22.541015563472623,31.64412947623961,31.352386987337503,31.62992649693641,31.58068076102963,31.152571872998305,32.578262619159176,33.66831594897854,37.717100451069484,44.52037133247621
Hour 4,48.04097218667307,32.3347901375063,29.96518225310951,36.24304026942098,33.34863907598679,34.986332985662635,36.921883912679775,35.775357031053105,40.57542229382368,44.117136912192066
Hour 5,27.644079023791868,25.849921380319888,24.28255958967312,28.810290428899933,28.88381843566893,29.781265422862052,30.761344751454697,33.94708959517939,34.17302515857107,43.89573924156925
Hour 6,24.481080701274255,20.766330657466764,19.784364474716995,18.36842444635206,23.632327725810374,24.019660683088393,24.329118851692442,29.02129911607311,28.935665766398103,33.19789342572612
Hour 7,23.812063094108336,20.77519662918583,19.32240184660881,18.117399338752993,18.146457918228645,24.141861105477933,23.572621719079077,22.862469457810924,25.767819736166235,28.287509979740268
Hour 8,24.83689400457567,22.14723722396357,23.601639409219057,24.296490207795166,22.574247618644463,25.234842915688784,26.4060815907843,29.22119515941988,28.345665771046836,27.478419802265773
Hour 9,25.598967521421372,22.61262309166693,21.094742805727066,20.86872500758017,20.656188214209767,20.127809339954,19.78915297161049,21.447381173410715,20.15644242344791,26.216302477928895
Hour 10,23.845976860292495,20.78831777264995,19.29317726627473,18.29187245522776,17.277882729807207,16.378366101172663,16.439792422105644,17.058075689500384,15.956407656379076,17.626769896476507
Hour 11,23.338617570938602,20.843942026938162,19.322956885060957,18.24087739759876,17.35405965005198,16.450657383088142,15.67634767101657,14.742995969710812,13.41680194485572,14.333664457259639
Hour 12,23.695931896086663,20.520153599400675,19.032907916653542,18.04302264798072,17.227651226905085,16.228301632788874,15.474337731638263,14.577674250448904,13.495902338335592,13.561618066603135
Hour 13,22.885948550316595,20.523120203325824,19.316735729094475,18.239195792905747,17.262758378059633,16.489993618380637,15.615753604519751,15.884683178317163,15.095406706615162,15.124912938764014
Hour 14,23.14069378760553,20.736778013167843,20.969292794504483,20.596197743569657,19.337835890246982,18.556238071892857,17.989403342321726,17.813464257024954,17.9174053233157,17.62898441437752
Hour 15,24.122311253701486,21.81810022169544,20.31757810038905,19.32013511657715,18.36083375253985,17.665524636545488,16.858217854653635,15.947156967655305,14.964502498667722,14.457671393117593
Hour 16,24.981391722156154,22.628462145405432,21.69254050716277,20.738804724908643,19.80691066864998,18.883743778351814,18.116859805199407,17.093562526087606,16.076148986816406,15.725839491813417
Hour 17,25.667841942079605,22.805494000834802,21.50976408681562,20.37209572330598,19.63505369617093,18.84424603369928,17.973508219565115,17.02786556366951,16.10006098593435,19.81457599516838
Hour 18,25.69659374606225,22.273005393243604,20.922860422442035,19.77148800511514,18.787436392999464,17.6565975681428,16.94358911821919,16.03144085791803,15.137165500271704,13.205393883489794
Hour 19,27.025770495014807,23.217072210004254,21.293664132395097,19.94126110692178,19.08384661520681,17.905676011116274,16.873253606980846,16.08364462083386,14.911359417823054,13.13384905169087
Hour 20,28.33484588130828,23.882968348841512,21.94555651757025,20.13314382491573,18.88451059402958,17.749440654631584,16.836164597542055,15.84327857725082,14.6647215812437,16.661725259596306
Hour 21,27.690084395870084,23.619448569513136,21.299143514325543,19.9417600324077,18.61496433135002,17.69219970703125,16.855446107925907,15.689625094013829,14.59732456959277,15.074167842249723
Hour 22,26.392012442311934,22.605877783990675,20.80690494660408,19.085636877244518,17.708028239588582,16.75155947285314,15.753416492092994,14.79712160172001,13.649859520696825,12.409455453195879
Hour 23,24.4755794771256,21.21646302746188,20.22316093855006,20.340149418000244,19.474907069052414,18.969286395657445,17.558828274775205,17.03207311322612,16.523105183809886,21.57310244652533
Hour 24,26.034479633454353,23.251135918401904,21.468483463410408,22.77119371967932,22.910969801872017,24.83290723575059,26.96458413084531,27.505843193300304,27.524399774476183,32.216989172658614
