,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,25.397546768188477,24.091569900512695,22.429723739624023,21.51541519165039,19.37154197692871,18.946184158325195,17.91710090637207,16.928159713745117,15.981122970581055,15.242431640625
Hour 2,25.57403564453125,23.594871520996094,22.150508880615234,21.335670471191406,19.763736724853516,18.92690658569336,17.857210159301758,16.5294189453125,15.485860824584961,14.354591369628906
Hour 3,32.03909683227539,25.308176040649414,22.644569396972656,20.3472900390625,19.4467830657959,17.984195709228516,16.485979080200195,16.177701950073242,14.577428817749023,13.526693344116211
Hour 4,26.326881408691406,24.636728286743164,22.032915115356445,19.799949645996094,19.600555419921875,17.9451961517334,15.945655822753906,14.795967102050781,11.433082580566406,10.27983283996582
Hour 5,24.514041900634766,23.954866409301758,23.402599334716797,21.31537628173828,20.2729549407959,19.119361877441406,18.165546417236328,17.93471336364746,15.573934555053711,7.799528121948242
Hour 6,25.278507232666016,23.119583129882812,22.80828857421875,20.84382438659668,20.461429595947266,19.858694076538086,19.020742416381836,17.768386840820312,16.875253677368164,15.529199600219727
Hour 7,30.478618621826172,25.721820831298828,22.24017906188965,21.822484970092773,20.660377502441406,20.12873077392578,19.745885848999023,16.3864803314209,15.872974395751953,13.603395462036133
Hour 8,28.819042205810547,26.12178611755371,25.362272262573242,24.770488739013672,22.3980770111084,20.808320999145508,18.425092697143555,17.139663696289062,14.356029510498047,25.939210128784055
Hour 9,38.099796295166016,31.628414154052734,31.023778915405273,26.170392990112305,24.536632537841797,21.822019577026367,21.783315658569336,21.31316375732422,18.759979248046875,16.157901763916016
Hour 10,34.956390380859375,28.014787673950195,27.35687255859375,25.77739715576172,23.789710998535156,22.711606979370117,21.34786033630371,20.334461212158203,18.341426849365234,16.524147033691406
Hour 11,28.6646728515625,27.020896911621094,26.31883430480957,24.246231079101562,23.708765029907227,23.108909606933594,20.596216201782227,19.98723602294922,19.044631958007812,18.242891311645508
Hour 12,30.155338287353516,27.088409423828125,25.68323516845703,24.13658332824707,22.53299903869629,21.03961753845215,20.629261016845703,19.471298217773438,17.999496459960938,14.884223937988281
Hour 13,43.50080108642578,27.823453903198242,26.927879333496094,26.204774856567383,24.839937210083008,23.109447479248047,22.751428604125977,22.112926483154297,20.84086799621582,18.256074905395508
Hour 14,43.501792907714844,30.342609405517578,26.29019546508789,24.320556640625,23.969282150268555,23.427257537841797,22.91246223449707,20.99303436279297,19.29969024658203,49.0678771972656
Hour 15,31.67731475830078,29.612709045410156,28.206558227539062,26.42720603942871,25.94643211364746,24.258573532104492,22.4168701171875,22.0044002532959,19.35155487060547,14.398481369018555
Hour 16,30.969932556152344,30.23387908935547,28.315855026245117,26.894996643066406,24.95941162109375,23.890657424926758,21.65546989440918,20.953020095825195,20.694963455200195,35.81976051330565
Hour 17,34.10000228881836,29.700054168701172,27.78128433227539,25.960918426513672,25.20634651184082,24.240903854370117,22.42081069946289,21.42404556274414,19.563737869262695,16.450151443481445
Hour 18,30.993227005004883,28.337339401245117,27.050994873046875,25.978498458862305,25.033119201660156,23.311574935913086,22.55058479309082,22.14474105834961,19.934471130371094,18.955015182495117
Hour 19,33.984840393066406,31.203044891357422,30.31949234008789,28.698841094970703,27.432106018066406,26.181554794311523,25.213624954223633,23.753244400024414,22.608112335205078,18.350278854370117
Hour 20,34.730804443359375,32.6274299621582,30.44416046142578,29.04686737060547,24.46776580810547,23.397769927978516,23.289249420166016,22.021133422851562,21.34099769592285,17.61712074279785
Hour 21,42.023582458496094,28.99348258972168,28.272018432617188,27.320430755615234,27.152690887451172,26.893394470214844,25.455320358276367,24.515727996826172,26.821292241414348,34.58590850830075
Hour 22,44.918331146240234,28.70753288269043,28.335437774658203,25.64510726928711,25.154647827148438,24.021404266357422,23.88489532470703,22.308792114257812,21.51229476928711,41.19734573364258
Hour 23,28.142396926879883,109.00924301147421,92.84947586059545,127.95368194580058,151.27876739501937,166.04288991292304,147.21310370308998,137.94289016723621,175.6481670803493,411.35707321166984
Hour 24,748.528358459474,427.6817684173591,314.36653264363656,251.03802680969272,240.46494407653836,208.9014218648277,202.78593908037476,180.79133987426775,163.35063489278173,184.65755424499525
