,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.075152762856022,0.12927037838351343,0.17981793118138464,0.22666098962599232,0.2683535671849404,0.3115005559121408,0.3447625814499395,0.3680334183231476,0.38362805125328797,0.3606071725660755,1.2988798842891571,0.44098092159148194,0.35908679772653884,0.29212596218970516,0.24771096700852924,0.23320834084787684,0.1998637958649667,0.1551004985194053,0.12456196978169105,0.09513456022201047,0.044092892603720436
Hour 2,0.07041073015889814,0.1265265329668599,0.17622724106081067,0.2226193889987084,0.2639336263595088,0.30139816537672465,0.33658384393261326,0.3678405368927986,0.38180448635470476,0.37449917959397844,1.6451075916905553,0.4565559613627775,0.42985227666055026,0.3758410274382562,0.3618641363328506,0.34136803958031453,0.2732384604177169,0.23688024577479222,0.18728187465052465,0.07945552392775021,0.046335928812334656
Hour 3,0.07476692280307894,0.1272651463908534,0.17404538257968039,0.2205442922284526,0.26217524485434257,0.2954410745928364,0.3279110498859035,0.3553594579881238,0.37648461467373745,0.37267279938728587,2.0349975536715603,0.7920729953396705,0.557851778436476,0.42890620786605366,0.39269010979437075,0.3492984714138895,0.29918813040948694,0.26980593389695706,0.16227055600074042,0.1323377750027565,0.04186919577813922
Hour 4,0.07912115018906132,0.1286703749379804,0.16791738875604445,0.21248032841836245,0.2531863581134427,0.2911417283581149,0.32444572624698764,0.34953338613202495,0.36448947649309704,0.3577493574080928,2.057360244258757,0.8514686634925104,0.6271761646147699,0.5817400557979461,0.5537612248328426,0.4996591661022556,0.3957645303049396,0.27608091420819697,0.19164250746696235,0.14077599989368073,0.10425589378110829
Hour 5,0.08484397059409851,0.13965524738680932,0.18623828339730536,0.23556955037270824,0.27750134708035373,0.3191757729314989,0.35374023281220485,0.3824891282604586,0.3983079931935956,0.39116023143645257,2.2579706487347995,0.8845768406775688,0.6034737645303049,0.5428863610052295,0.47575133972167977,0.4087012299076205,0.32816603789790993,0.2588058243290072,0.20920814585531916,0.15834398542834863,0.039728433375204805
Hour 6,0.08253679706204323,0.13712724285741004,0.19203111371686382,0.23621079106484694,0.2837577004586497,0.3242491906689059,0.3623628050281156,0.3964590404879664,0.41398301493737005,0.3968869024707425,2.2469807594053206,0.8139581384966451,0.6082795684568345,0.4611694139049901,0.3616670177828883,0.2869460936515564,0.246470902965915,0.18567687742171768,0.1347528113088302,0.0679517733666205,0.04085339023220927
Hour 7,0.0780812991726783,0.1385895899618826,0.19589860275022447,0.24594095257174584,0.2965982232862903,0.3415513611824282,0.38133850683396864,0.41605951794039814,0.4427736948320943,0.43262700948407573,2.1333963209582913,0.6634819451608965,0.4445549846526114,0.4037700069304436,0.3557759429439423,0.2665968666322771,0.24059870209232467,0.15869310351956284,0.13022765185448437,0.10543865036502963,0.041052127124417255
Hour 8,0.08167024008843204,0.14957805103178945,0.21298563700029924,0.272566940406061,0.3268365688939249,0.37419896872735786,0.41704465624901554,0.4561879308885144,0.4826441432337607,0.48887980024276234,1.7592819509198585,0.5501046098278413,0.4547077591434602,0.3838586059570315,0.3526162140877018,0.3074008974629065,0.2675949347711379,0.23884526544386347,0.21627470242900235,0.17168200777115356,0.13275106341454287
Hour 9,0.08005422151011807,0.1441621818296371,0.20409853765426142,0.26117313035534273,0.30979335563413557,0.3589341197352255,0.4001813504372875,0.4397209294472971,0.4662895410107028,0.4655851430585308,1.7874151660550024,0.7250798460437403,0.4836784936720326,0.40457074033675666,0.35405183819186303,0.31891708959764054,0.24443655050954513,0.20365540515530503,0.17660743575557594,0.1458542189075101,0.04650874286774671
Hour 10,0.06723939071163053,0.12055752674225838,0.17151660199319163,0.21879376466812628,0.2603339890510805,0.3014884540188697,0.3360024816451534,0.36770173891129043,0.3837369979735344,0.3561454532992456,1.627394399335308,0.4699263332736113,0.4243882490588777,0.3530362499606228,0.31497338190386404,0.25111210632324243,0.203064087283227,0.14710412892987676,0.11691747739238131,0.08444877427624126,0.05069426776516827
Hour 11,0.06615552865305255,0.11896421912408643,0.16850346639079436,0.21369681302962762,0.2548726709427372,0.28816594671433965,0.3182902251828101,0.34772931695753523,0.36307291806128705,0.42177219206287025,1.6557754565823464,0.26747097507599865,0.23457046533400033,0.23275337760679207,0.21552913985713848,0.19620331155100193,0.17670227358418142,0.15005663127283914,0.1208475523917907,0.08749076301820823,0.05493162745814175
Hour 12,0.06181733590402911,0.11260113311275356,0.16013220102863926,0.200951989598428,0.24033203881786716,0.27421555288991617,0.306289257369503,0.3304606478783392,0.3455251497699368,0.35756042886549416,1.5905352044874623,0.26173223704676496,0.2691176109067859,0.2626134517546625,0.24272794248519422,0.219313146677325,0.19046584726149057,0.1617630916472406,0.12889666103239994,0.09266622240620283,0.05296478643109725
Hour 13,0.06270250810192476,0.10767666965607674,0.15289575846272133,0.1894834246727728,0.23507569116161708,0.27748267989620073,0.3096281563666561,0.3540355015908518,0.3697143149468207,0.4125507130776681,1.416808619345388,0.2722316990513958,0.28377425308227566,0.27106285361013127,0.24812049882950343,0.22927989482264388,0.202668636198967,0.17013184834141906,0.13544198935724086,0.09779364436980229,0.055659985105453065
Hour 14,0.06209612830377394,0.10955555053218721,0.1498887177252,0.19574050962386594,0.2414490833282471,0.28754185365246193,0.33204330516938246,0.3743466813610447,0.404884833157447,0.4251000671386718,1.3671967734059984,0.3006882437429123,0.3039028991207003,0.2906122749574726,0.2610817099048248,0.23609712450581236,0.2064489726404992,0.17152543777958051,0.13679476724440065,0.09753252430577442,0.058605684317312015
Hour 15,0.0703198385669339,0.12362147032214747,0.16959061620158533,0.2131308495798419,0.25438344500141763,0.29155198738344257,0.32766551370928376,0.3770849895846457,0.4053446310597081,0.47878553956554765,1.5499423291606282,0.3057338842576553,0.29574537284604985,0.2817634812878027,0.26441684338969595,0.23631803948187083,0.20443874999015582,0.17160291777580028,0.13543197142078045,0.09698723292196962,0.05363116583055071
Hour 16,0.07255152021838773,0.13379671397055345,0.18784508817118978,0.23624638327321695,0.28040587345246354,0.32575705106181474,0.36816365031580783,0.3994933956023186,0.4488202830037762,0.4215771732945595,1.9171192021523757,0.28647776917488366,0.28494939991120405,0.28104541192823856,0.2579798550267376,0.23118120707850318,0.2023301080273046,0.17000766276697973,0.13782754632273048,0.09856181182861339,0.05614433384556931
Hour 17,0.07164076910941831,0.12785312987296812,0.1828339811509655,0.2339649575018114,0.2803400384841427,0.32052828531572897,0.35901439176990135,0.3913384602208292,0.42126661514774427,0.44419170638053646,1.8434880336638415,0.282316592308783,0.29300955342938856,0.28054361788842014,0.2575105679173625,0.2344732651741276,0.2042924828067905,0.1731389452534339,0.13989498005528614,0.10003192936066667,0.05594502127862751
Hour 18,0.06706321249931088,0.12433696675454416,0.17432492641325922,0.21961692421205586,0.2654112967214277,0.30699599082700657,0.34402254685432687,0.3765289204259072,0.3935375381469726,0.3908901948005923,1.6840252057967646,0.2717732046804122,0.27214707449636183,0.26416501484532534,0.24168146537042454,0.22073753017302503,0.19533555455361656,0.16541067819902988,0.1300741732443534,0.09578323497156953,0.05649074867002432
Hour 19,0.06603923742232785,0.1220754421603295,0.1742856282880229,0.22310946089221584,0.26886758373629666,0.31241263703377015,0.34934455883887516,0.37379717722246725,0.39380034440563566,0.3856297468370007,1.6803264864029421,0.29189428514049914,0.28578574432865284,0.27042700195312525,0.25648463513774283,0.23444812553159672,0.21194288930585325,0.17983701496739557,0.14779359460646121,0.10925658859745159,0.07099183322537336
